FantasyPoints,Date,Name,Salary,Position,Home
59.7,20151027,Curry Stephen,10400,PG,H
37.3,20151027,Williams Maurice,6000,PG,A
34.1,20151027,Jackson Reggie,8300,PG,A
32.6,20151027,Schroder Dennis,4600,PG,H
32.0,20151027,Butler Jimmy,7500,SG,H
27.3,20151027,Caldwell-Pope Kentavious,5000,SG,A
26.7,20151027,Rose Derrick,8100,PG,H
22.8,20151027,Gordon Eric,5200,SG,A
21.4,20151027,Teague Jeff,7200,PG,H
20.5,20151027,Smith J.R.,5700,SG,A
16.1,20151027,Moore E'Twaun,3800,PG,H
15.8,20151027,Livingston Shaun,4000,PG,H
15.8,20151027,Dellavedova Matthew,3900,PG,A
15.3,20151027,Thompson Klay,7100,SG,H
12.4,20151027,Snell Tony,3900,SG,H
11.9,20151027,Korver Kyle,5400,SG,H
9.2,20151027,Barbosa Leandro,3900,SG,H
8.0,20151027,Blake Steve,3800,PG,A
6.5,20151027,Robinson Nate,3500,PG,A
6.4,20151027,Brooks Aaron,4200,PG,H
5.9,20151027,Bazemore Kent,3700,SG,H
3.4,20151027,Meeks Jodie,3900,SG,A
0.0,20151027,Rush Brandon,3500,SG,H
0.0,20151027,Cunningham Jared,3500,SG,A
0.0,20151027,Hilliard Darrun,3500,SG,A
0.0,20151027,Holiday Jrue,6000,PG,A
0.0,20151027,Holiday Justin,3500,SG,H
0.0,20151027,Harris Joe,3500,SG,A
0.0,20151027,Mack Shelvin,3500,PG,H
0.0,20151027,Dinwiddie Spencer,3500,PG,A
0.0,20151027,Hinrich Kirk,3800,SG,H
0.0,20151027,Irving Kyrie,7900,PG,A
0.0,20151027,Hardaway Jr. Tim,3900,SG,H
0.0,20151027,Evans Tyreke,7400,PG,A
0.0,20151027,Cole Norris,3500,PG,A
45.5,20151027,James LeBron,11000,SF,A
36.0,20151027,Morris Marcus,5700,SF,A
35.6,20151027,Love Kevin,7200,PF,A
31.1,20151027,Millsap Paul,7700,PF,H
29.3,20151027,Mirotic Nikola,5500,SF,H
29.2,20151027,Davis Anthony,11200,PF,A
27.9,20151027,Ilyasova Ersan,5200,PF,A
24.3,20151027,Barnes Harrison,4600,SF,H
23.6,20151027,Green Draymond,7800,PF,H
22.9,20151027,Sefolosha Thabo,4200,SF,H
20.0,20151027,Gibson Taj,4900,PF,H
18.5,20151027,Gee Alonzo,3600,SF,A
18.4,20151027,Gasol Pau,7900,PF,H
17.4,20151027,Thompson Tristan,5200,PF,A
16.7,20151027,Anderson Ryan,5400,PF,A
16.5,20151027,Speights Marreese,3900,PF,H
15.4,20151027,Cunningham Dante,4200,PF,A
15.3,20151027,Johnson Stanley,4300,SF,A
13.5,20151027,Iguodala Andre,4300,SF,H
12.8,20151027,McDermott Doug,4200,SF,H
12.5,20151027,Jefferson Richard,3500,SF,A
5.2,20151027,Scott Mike,3500,SF,H
2.0,20151027,Jones James,3500,SF,A
2.0,20151027,McAdoo James Michael,3500,PF,H
0.2,20151027,Muscala Mike,3800,PF,H
0.0,20151027,Thompson Jason,4800,PF,H
0.0,20151027,Portis Bobby,3800,PF,H
0.0,20151027,Bairstow Cameron,3500,PF,H
0.0,20151027,Bullock Reggie,3500,SF,A
0.0,20151027,Babbitt Luke,3500,SF,A
0.0,20151027,Dunleavy Mike,4200,SF,H
0.0,20151027,Pondexter Quincy,3900,SF,A
0.0,20151027,Tolliver Anthony,4300,PF,A
49.3,20151027,Drummond Andre,9000,C,A
34.8,20151027,Horford Al,7200,C,H
29.5,20151027,Bogut Andrew,5400,C,H
22.3,20151027,Ezeli Festus,3500,C,H
17.8,20151027,Noah Joakim,5700,C,H
16.3,20151027,Perkins Kendrick,3500,C,A
15.0,20151027,Mozgov Timofey,4800,C,A
11.0,20151027,Baynes Aron,3900,C,A
10.8,20151027,Splitter Tiago,4000,C,H
9.8,20151027,Ajinca Alexis,3500,C,A
6.4,20151027,Varejao Anderson,3900,C,A
0.0,20151027,Kaun Sasha,3500,C,A
0.0,20151027,Anthony Joel,3500,C,A
0.0,20151027,Asik Omer,4500,C,A
0.0,20151027,Felicio Cristiano,3500,C,H
0.0,20151027,Tavares Walter,3500,C,H
36.9,20151027,Smith Ishmael,,NA,A
9.2,20151027,Patterson Lamar,,NA,H
52.4,20151028,Rubio Ricky,7400,PG,A
49.4,20151028,Wall John,9400,PG,A
49.4,20151028,Westbrook Russell,10800,PG,H
47.7,20151028,McCollum C.J.,5200,SG,H
43.5,20151028,Lillard Damian,9000,PG,H
43.2,20151028,Harden James,10800,SG,H
42.9,20151028,Thomas Isaiah,6900,PG,H
42.5,20151028,Paul Chris,9800,PG,A
42.0,20151028,DeRozan DeMar,8000,SG,H
40.8,20151028,Butler Jimmy,7500,SG,A
36.2,20151028,Oladipo Victor,7600,SG,H
35.8,20151028,Walker Kemba,7200,PG,A
35.0,20151028,Payton Elfrid,7400,PG,H
34.6,20151028,Lowry Kyle,7500,PG,H
34.3,20151028,Bryant Kobe,8200,SG,H
32.1,20151028,Wade Dwyane,7000,SG,H
31.8,20151028,Felton Raymond,4000,PG,A
30.7,20151028,Vujacic Sasha,3500,SG,A
29.6,20151028,Hill George,6500,PG,A
29.2,20151028,Beal Bradley,7200,SG,A
28.9,20151028,Smith J.R.,5700,SG,A
28.9,20151028,Vasquez Greivis,4300,PG,H
28.5,20151028,Johnson Joe,6800,SG,H
28.4,20151028,Canaan Isaiah,5200,PG,A
28.0,20151028,Carter-Williams Michael,6800,PG,H
27.9,20151028,Gordon Eric,5200,SG,A
27.9,20151028,Smart Marcus,5700,PG,H
26.7,20151028,Burks Alec,5500,SG,A
25.9,20151028,Williams Louis,4800,SG,H
25.9,20151028,Williams Deron,7000,PG,A
25.5,20151028,Mudiay Emmanuel,5500,PG,A
25.5,20151028,Harris Gary,4200,SG,A
25.3,20151028,Galloway Langston,4500,SG,A
24.8,20151028,Hood Rodney,4200,SG,A
24.7,20151028,Grant Jerian,4400,PG,A
24.2,20151028,Martin Kevin,5200,SG,A
24.2,20151028,Collison Darren,5800,PG,H
24.0,20151028,Larkin Shane,4500,PG,H
