Date,Title,Entries,MaxEntries,MaxEntriesPerUser,H2H,EntryFee,Pot,HighestScore,LastWinningIndex,LastWinningRank,LastWinningScore,Type
2016-10-25,$1 Million Tue NBA Clutch Shot ($200K to 1st),,,,,4,1000000,373.5,,67253,296.2,TOURNAMENT
2016-10-25,$100K Tue NBA Monster ($20K to 1st),,,,,300,100000,362.9,,74,308.8,TOURNAMENT
2016-10-25,$100K Tue NBA Slam ($100K Guaranteed),,,,,25,100000,362.9,,939,304.1,TOURNAMENT
2016-10-25,$10K Tue NBA Swish (Single Entry),,,1,,50,10000,350.8,,45,308.7,TOURNAMENT
2016-10-25,$15K Tue NBA And One (Single Entry),,,1,,25,15000,350.8,,135,305.6,TOURNAMENT
2016-10-25,$15K Tue NBA Dime (Single Entry),,,1,,10,15000,356.0,,415,300.5,TOURNAMENT
2016-10-25,$20K Tue NBA Dunk ($20K Guaranteed),,,,,100,20000,350.8,,44,309.0,TOURNAMENT
2016-10-25,$22K Tue NBA BIG $11 Double Up (Top 1000 Win),,,,,11,22000,355.8,,924,289.3,TOURNAMENT
2016-10-25,$30K Tue NBA BIG $25 Double Up (Top 600 Win),,,,,25,30000,354.0,,565,293.7,TOURNAMENT
2016-10-25,$30K Tue NBA BIG $5 Double Up (Top 3000 Win),,,,,5,30000,351.9,,2781,289.3,TOURNAMENT
2016-10-25,$5K Tue NBA Assist #2 (Single Entry),,,1,,5,5000,362.9,,225,303.2,TOURNAMENT
2016-10-25,$5K Tue NBA Rebound ($5K Guaranteed),,,,,12,5000,352.4,,111,303.6,TOURNAMENT
2016-10-25,$7K Tue NBA Dribbler #3 (Single Entry),,,1,,1,7000,365.0,,1685,297.6,TOURNAMENT
2016-10-26,$15K Wed NBA Block (Single Entry),,,1,,2,15000,412.8,,1466,335.7,TOURNAMENT
2016-10-26,$200K Wed NBA Slam ($20K to 1st),,,,,25,200000,412.1,,1818,343.7,TOURNAMENT
2016-10-26,$20K Wed NBA Assist (Single Entry),,,1,,5,20000,412.1,,911,334.3,TOURNAMENT
2016-10-26,$20K Wed NBA Dime (Single Entry),,,1,,10,20000,412.1,,469,335.8,TOURNAMENT
2016-10-26,$25K Wed NBA And One (Single Entry),,,1,,25,25000,407.5,,209,342.8,TOURNAMENT
2016-10-26,$25K Wed NBA Dribbler (Single Entry),,,1,,1,25000,415.2,,5614,327.5,TOURNAMENT
2016-10-26,$25K Wed NBA Swat (3 Entries Max),,,3,,1,25000,421.0,,5138,331.0,TOURNAMENT
2016-10-26,$400K Wed NBA SUPER Dunk ($100K to 1st),,,,,100,400000,412.1,,836,349.3,TOURNAMENT
2016-10-26,$500K Wed NBA Clutch Shot Encore ($100K to 1st),,,,,4,500000,426.4,,33799,331.9,TOURNAMENT
2016-10-27,$100K Thu NBA Slam ($100K Guaranteed),,,,,25,100000,340.9,,938,291.8,TOURNAMENT
2016-10-27,$10K Thu NBA Swat (3 Entries Max),,,3,,1,10000,339.6,,2855,278.1,TOURNAMENT
2016-10-27,$15K Thu NBA Dime (Single Entry),,,1,,10,15000,327.8,,409,287.3,TOURNAMENT
2016-10-27,$300K Thu NBA Shot ($50K to 1st),,,,,3,300000,350.3,,24274,284.1,TOURNAMENT
2016-10-27,$50K Thu NBA Layup ($50K Guaranteed),,,,,5,50000,340.9,,2050,290.8,TOURNAMENT
2016-10-27,$6K Thu NBA Block (Single Entry),,,1,,2,6000,329.8,,682,284.2,TOURNAMENT
2016-10-28,$150K Fri NBA Monster ($30K to 1st),,,,,300,150000,381.0,,110,319.4,TOURNAMENT
2016-10-28,$200K Fri NBA Slam ($20K to 1st),,,,,25,200000,403.0,,1819,318.7,TOURNAMENT
2016-10-28,$20K Fri NBA And One (Single Entry),,,1,,25,20000,363.0,,180,318.3,TOURNAMENT
2016-10-28,$20K Fri NBA Assist (Single Entry),,,1,,5,20000,391.1,,912,312.2,TOURNAMENT
2016-10-28,$20K Fri NBA Block (Single Entry),,,1,,2,20000,392.5,,2330,306.8,TOURNAMENT
2016-10-28,$20K Fri NBA Dime (Single Entry),,,1,,10,20000,398.1,,472,313.8,TOURNAMENT
2016-10-28,$22K Fri NBA BIG $11 Double Up (Top 1000 Win),,,,,11,22000,360.5,,985,306.2,TOURNAMENT
2016-10-28,$25K Fri NBA Dribbler (Single Entry),,,1,,1,25000,392.0,,5609,303.8,TOURNAMENT
2016-10-28,$25K Fri NBA Swat (3 Entries Max),,,3,,1,25000,395.0,,5110,306.9,TOURNAMENT
2016-10-28,$30K Fri NBA BIG $2 Double Up (Top 7500 Win),,,,,2,30000,382.9,,7426,302.1,TOURNAMENT
2016-10-28,$350K Fri NBA Shot ($50K to 1st),,,,,3,350000,400.2,,27554,308.6,TOURNAMENT
2016-10-28,$35K Fri NBA BIG $25 Double Up (Top 700 Win),,,,,25,35000,375.6,,699,306.9,TOURNAMENT
2016-10-28,$50K Fri NBA BIG $5 Double Up (Top 5000 Win),,,,,5,50000,368.9,,4990,305.2,TOURNAMENT
