"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16748-9642","PG","Russell","Westbrook","57.900001525878906","1","12000","PHO@OKC","OKC","PHO","","","",""
"16748-9644","SG","James","Harden","64.0999984741211","1","11300","HOU@DAL","HOU","DAL","","","",""
"16748-15755","PF","Anthony","Davis","95.69999694824219","1","10800","GS@NO","NO","GS","","","",""
"16748-9488","SF","LeBron","James","51.20000076293945","1","9900","CLE@TOR","CLE","TOR","","","",""
"16748-9646","SF","Kevin","Durant","53","1","9300","GS@NO","GS","NO","","","",""
"16748-12341","SF","Paul","George","41.599998474121094","1","9200","IND@BKN","IND","BKN","","","",""
"16748-9524","PG","Stephen","Curry","31.600000381469727","1","9000","GS@NO","GS","NO","","","",""
"16748-12363","C","Hassan","Whiteside","43.29999923706055","1","8500","CHA@MIA","MIA","CHA","","","",""
"16748-15860","PF","Draymond","Green","51.400001525878906","1","8400","GS@NO","GS","NO","","","",""
"16748-14507","PG","Kemba","Walker","33.400001525878906","1","7900","CHA@MIA","CHA","MIA","","","",""
"16748-9663","PG","Jrue","Holiday","30.192307692307693","65","7900","GS@NO","NO","GS","O","Personal","",""
"16748-14514","C","Nikola","Vucevic","41.29999923706055","1","7800","ORL@DET","ORL","DET","","","",""
"16748-15557","C","Andre","Drummond","21.200000762939453","1","7800","ORL@DET","DET","ORL","","","",""
"16748-9714","SG","DeMar","DeRozan","42.29999923706055","1","7800","CLE@TOR","TOR","CLE","","","",""
"16748-9535","PG","Kyle","Lowry","28","1","7700","CLE@TOR","TOR","CLE","","","",""
"16748-9621","C","Brook","Lopez","11","1","7700","IND@BKN","BKN","IND","","","",""
"16748-14498","PG","Kyrie","Irving","41.400001525878906","1","7500","CLE@TOR","CLE","TOR","","","",""
"16748-12355","PG","Eric","Bledsoe","28.700000762939453","1","7400","PHO@OKC","PHO","OKC","","","",""
"16748-12366","SF","Gordon","Hayward","31.754998779296876","80","7300","LAL@UTA","UTA","LAL","O","Finger","",""
"16748-9874","PF","Kevin","Love","44.400001525878906","1","7100","CLE@TOR","CLE","TOR","","","",""
"16748-9500","PF","Dirk","Nowitzki","40.599998474121094","1","7100","HOU@DAL","DAL","HOU","GTD","Illness","",""
"16748-15684","SG","Victor","Oladipo","16.5","1","7000","PHO@OKC","OKC","PHO","","","",""
"16748-12351","PF","Derrick","Favors","32.04193509009577","62","7000","LAL@UTA","UTA","LAL","","","",""
"16748-40203","C","Rudy","Gobert","32.79999923706055","1","7000","LAL@UTA","UTA","LAL","","","",""
"16748-58253","C","Myles","Turner","60.70000076293945","1","6900","IND@BKN","IND","BKN","","","",""
"16748-9673","PG","Goran","Dragic","29.200000762939453","1","6800","CHA@MIA","MIA","CHA","","","",""
"16748-58312","PG","D'Angelo","Russell","24.700000762939453","1","6400","LAL@UTA","LAL","UTA","","","",""
"16748-42669","PF","Julius","Randle","35.400001525878906","1","6400","LAL@UTA","LAL","UTA","","","",""
"16748-9722","PG","Deron","Williams","35.099998474121094","1","6400","HOU@DAL","DAL","HOU","","","",""
"16748-9772","PF","Ryan","Anderson","26.700000762939453","1","6300","HOU@DAL","HOU","DAL","","","",""
"16748-9446","PG","Jeff","Teague","37.400001525878906","1","6300","IND@BKN","IND","BKN","","","",""
"16748-9809","SG","Nicolas","Batum","29.700000762939453","1","6200","CHA@MIA","CHA","MIA","","","",""
"16748-14518","PF","Tobias","Harris","26.5","1","6200","ORL@DET","DET","ORL","","","",""
"16748-12511","PG","Ish","Smith","19.700000762939453","1","6200","ORL@DET","DET","ORL","","","",""
"16748-12443","PG","Jeremy","Lin","26.100000381469727","1","6200","IND@BKN","BKN","IND","","","",""
"16748-9526","SG","Monta","Ellis","40.900001525878906","1","6100","IND@BKN","IND","BKN","","","",""
"16748-14509","SG","Klay","Thompson","14.199999809265137","1","6100","GS@NO","GS","NO","","","",""
"16748-58460","SG","Devin","Booker","20.899999618530273","1","6100","PHO@OKC","PHO","OKC","","","",""
"16748-9703","PG","George","Hill","35.400001525878906","1","6100","LAL@UTA","UTA","LAL","","","",""
"16748-14503","C","Jonas","Valanciunas","45.70000076293945","1","6000","CLE@TOR","TOR","CLE","","","",""
"16748-9666","PF","Thaddeus","Young","23","1","6000","IND@BKN","IND","BKN","","","",""
"16748-19138","PG","Elfrid","Payton","28.299999237060547","1","5900","ORL@DET","ORL","DET","","","",""
"16748-20640","SG","Jordan","Clarkson","32.099998474121094","1","5800","LAL@UTA","LAL","UTA","","","",""
"16748-23096","SG","Evan","Fournier","33.79999923706055","1","5800","ORL@DET","ORL","DET","","","",""
"16748-14506","SG","Brandon","Knight","13.699999809265137","1","5800","PHO@OKC","PHO","OKC","","","",""
"16748-14512","SF","Marcus","Morris","32.29999923706055","1","5700","ORL@DET","DET","ORL","","","",""
"16748-15904","SG","Rodney","Hood","35.900001525878906","1","5700","LAL@UTA","UTA","LAL","","","",""
"16748-15758","SF","Michael","Kidd-Gilchrist","43.79999923706055","1","5600","CHA@MIA","CHA","MIA","","","",""
"16748-9447","SF","Joe","Johnson","38.29999923706055","1","5600","LAL@UTA","UTA","LAL","","","",""
"16748-41594","SF","Aaron","Gordon","28.600000381469727","1","5600","ORL@DET","ORL","DET","","","",""
"16748-9957","PF","Serge","Ibaka","24.399999618530273","1","5500","ORL@DET","ORL","DET","","","",""
"16748-9538","SF","Trevor","Ariza","19.200000762939453","1","5400","HOU@DAL","HOU","DAL","","","",""
"16748-14516","PF","Enes","Kanter","35.400001525878906","1","5300","PHO@OKC","OKC","PHO","","","",""
"16748-16071","PG","Tim","Frazier","40.5","1","5300","GS@NO","NO","GS","","","",""
"16748-9556","SG","Eric","Gordon","26","1","5200","HOU@DAL","HOU","DAL","","","",""
"16748-9799","SG","Wesley","Matthews","28.5","1","5100","HOU@DAL","DAL","HOU","","","",""
"16748-9451","PF","Marvin","Williams","29","1","5100","CHA@MIA","CHA","MIA","","","",""
"16748-9495","PG","J.J.","Barea","32.400001525878906","1","5100","HOU@DAL","DAL","HOU","","","",""
"16748-15946","SF","Harrison","Barnes","27.799999237060547","1","5100","HOU@DAL","DAL","HOU","","","",""
"16748-15636","SG","Kentavious","Caldwell-Pope","11.5","1","5000","ORL@DET","DET","ORL","","","",""
"16748-9479","SF","Luol","Deng","15.5","1","5000","LAL@UTA","LAL","UTA","","","",""
"16748-14505","C","Bismack","Biyombo","18.49390243902439","82","5000","ORL@DET","ORL","DET","","","",""
"16748-14500","PF","Derrick","Williams","15.383749389648438","80","5000","CHA@MIA","MIA","CHA","","","",""
"16748-15814","C","Alex","Len","20.399999618530273","1","4900","PHO@OKC","PHO","OKC","","","",""
"16748-58084","SF","Justise","Winslow","34.599998474121094","1","4900","CHA@MIA","MIA","CHA","","","",""
"16748-12350","PF","Trevor","Booker","28.899999618530273","1","4900","IND@BKN","BKN","IND","","","",""
"16748-15788","C","Justin","Hamilton","33","1","4800","IND@BKN","BKN","IND","","","",""
"16748-23169","C","Steven","Adams","27.5","1","4800","PHO@OKC","OKC","PHO","","","",""
"16748-9648","SF","Jeff","Green","11.100000381469727","1","4700","ORL@DET","ORL","DET","","","",""
"16748-55059","C","Clint","Capela","27.799999237060547","1","4700","HOU@DAL","HOU","DAL","","","",""
"16748-18600","PG","Tyler","Johnson","29.700000762939453","1","4600","CHA@MIA","MIA","CHA","","","",""
"16748-15691","C","Cody","Zeller","23.100000381469727","1","4600","CHA@MIA","CHA","MIA","","","",""
"16748-23120","SF","T.J.","Warren","25.5","1","4600","PHO@OKC","PHO","OKC","","","",""
"16748-9662","SG","Lou","Williams","20","1","4600","LAL@UTA","LAL","UTA","","","",""
"16748-12474","PG","Patrick","Beverley","21.270421847491196","71","4600","HOU@DAL","HOU","DAL","O","Knee","",""
"16748-9787","SF","DeMarre","Carroll","19.899999618530273","1","4500","CLE@TOR","TOR","CLE","","","",""
"16748-16220","SG","Dion","Waiters","21.200000762939453","1","4500","CHA@MIA","MIA","CHA","","","",""
"16748-9454","C","Zaza","Pachulia","4.099999904632568","1","4500","GS@NO","GS","NO","","","",""
"16748-14554","SG","E'Twaun","Moore","19.200000762939453","1","4500","GS@NO","NO","GS","","","",""
"16748-14533","PG","Shelvin","Mack","15.199999809265137","1","4500","LAL@UTA","UTA","LAL","","","",""
"16748-14510","SG","Alec","Burks","20.332257670740926","31","4500","LAL@UTA","UTA","LAL","O","Ankle","",""
"16748-9506","SG","J.R.","Smith","16.600000381469727","1","4400","CLE@TOR","CLE","TOR","","","",""
"16748-14501","C","Tristan","Thompson","5.199999809265137","1","4400","CLE@TOR","CLE","TOR","","","",""
"16748-9609","C","Al","Jefferson","15.199999809265137","1","4400","IND@BKN","IND","BKN","","","",""
"16748-23407","SF","P.J.","Tucker","-1","1","4300","PHO@OKC","PHO","OKC","","","",""
"16748-23665","SG","Buddy","Hield","9.699999809265137","1","4300","GS@NO","NO","GS","","","",""
"16748-9804","C","Alexis","Ajinca","1.2000000476837158","1","4200","GS@NO","NO","GS","","","",""
"16748-9473","C","Tyson","Chandler","19","1","4200","PHO@OKC","PHO","OKC","","","",""
"16748-14530","SF","Bojan","Bogdanovic","27","1","4200","IND@BKN","BKN","IND","","","",""
"16748-9598","PF","Ersan","Ilyasova","19.5","1","4200","PHO@OKC","OKC","PHO","","","",""
"16748-9601","C","Andrew","Bogut","18.700000762939453","1","4200","HOU@DAL","DAL","HOU","","","",""
"16748-63123","SG","Mario","Hezonja","9.600000381469727","1","4100","ORL@DET","ORL","DET","","","",""
"16748-16363","SG","Joe","Harris","30.299999237060547","1","4100","IND@BKN","BKN","IND","","","",""
"16748-67707","PF","Marquese","Chriss","12.800000190734863","1","4100","PHO@OKC","PHO","OKC","","","",""
"16748-12369","SF","Lance","Stephenson","16.100000381469727","1","4100","GS@NO","NO","GS","","","",""
"16748-9664","SF","Andre","Iguodala","9.899999618530273","1","4100","GS@NO","GS","NO","","","",""
"16748-9778","PF","Josh","McRoberts","9.94047619047619","42","4000","CHA@MIA","MIA","CHA","O","Foot","",""
"16748-9733","SG","Randy","Foye","11.743210027247299","81","4000","IND@BKN","BKN","IND","O","Hamstring","",""
"16748-15757","PF","Terrence","Jones","17.100000381469727","1","4000","GS@NO","NO","GS","","","",""
"16748-59358","PF","Domantas","Sabonis","9.800000190734863","1","4000","PHO@OKC","OKC","PHO","","","",""
"16748-9512","C","Nene","Hilario","16.100000381469727","1","4000","HOU@DAL","HOU","DAL","GTD","Thigh","",""
