"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17035-15755","PF","Anthony","","Davis","55.45384803185096","13","11800","NO@ATL","NO","ATL","","","",""
"17035-9642","PG","Russell","","Westbrook","56.800000871930806","14","11800","OKC@LAL","OKC","LAL","","","",""
"17035-20848","PG","Damian","","Lillard","39.526668294270834","15","9000","POR@NY","POR","NY","","","",""
"17035-14528","SF","Jimmy","","Butler","40.59285627092634","14","8600","CHI@DEN","CHI","DEN","","","",""
"17035-9508","SF","Carmelo","","Anthony","34.046154315655045","13","7900","POR@NY","NY","POR","","","",""
"17035-9660","C","Dwight","","Howard","36.541666666666664","12","7900","NO@ATL","ATL","NO","","","",""
"17035-9663","PG","Jrue","","Holiday","36.900001525878906","2","7900","NO@ATL","NO","ATL","","","",""
"17035-9729","PF","Paul","","Millsap","34.89230816180889","13","7600","NO@ATL","ATL","NO","","","",""
"17035-19067","SG","C.J.","","McCollum","33.926666259765625","15","7500","POR@NY","POR","NY","","","",""
"17035-63122","PF","Kristaps","","Porzingis","33.00769277719351","13","7200","POR@NY","NY","POR","","","",""
"17035-9692","SG","Tyreke","","Evans","31.47199951171875","25","6900","NO@ATL","NO","ATL","O","Knee","",""
"17035-9585","SG","Dwyane","","Wade","30.01538555438702","13","6700","CHI@DEN","CHI","DEN","","","",""
"17035-42669","PF","Julius","","Randle","29.942858014787948","14","6500","OKC@LAL","LAL","OKC","","","",""
"17035-63124","PG","Emmanuel","","Mudiay","27.96153846153846","13","6100","CHI@DEN","DEN","CHI","","","",""
"17035-58312","PG","D'Angelo","","Russell","27.638460599459133","13","6100","OKC@LAL","LAL","OKC","GTD","Knee","",""
"17035-9637","SF","Danilo","","Gallinari","26.176922137920673","13","6000","CHI@DEN","DEN","CHI","","","",""
"17035-14521","PF","Kenneth","","Faried","25.70769324669471","13","6000","CHI@DEN","DEN","CHI","","","",""
"17035-15684","SG","Victor","","Oladipo","25.457142421177455","14","5900","OKC@LAL","OKC","LAL","","","",""
"17035-9636","SF","Wilson","","Chandler","27.845453435724433","11","5900","CHI@DEN","DEN","CHI","","","",""
"17035-9475","PG","Derrick","","Rose","26.338461068960335","13","5800","POR@NY","NY","POR","","","",""
"17035-9455","PG","Rajon","","Rondo","25.85833231608073","12","5700","CHI@DEN","CHI","DEN","","","",""
"17035-40201","PG","Dennis","","Schroder","24.938462477463943","13","5500","NO@ATL","ATL","NO","","","",""
"17035-16071","PG","Tim","","Frazier","26.84285627092634","14","5400","NO@ATL","NO","ATL","","","",""
"17035-9481","PF","Taj","","Gibson","24.75","14","5300","CHI@DEN","CHI","DEN","","","",""
"17035-15590","C","Mason","","Plumlee","25.64000040690104","15","5300","POR@NY","POR","NY","","","",""
"17035-15757","PF","Terrence","","Jones","22.77692354642428","13","5100","NO@ATL","NO","ATL","GTD","Achilles","",""
"17035-17333","SG","Will","","Barton","24.274999618530273","4","5100","CHI@DEN","DEN","CHI","","","",""
"17035-9662","SG","Lou","","Williams","25.785714285714285","14","5100","OKC@LAL","LAL","OKC","","","",""
"17035-55057","C","Jusuf","","Nurkic","23.161538931039665","13","4900","CHI@DEN","DEN","CHI","","","",""
"17035-19781","SF","Kent","","Bazemore","23.669231708233173","13","4900","NO@ATL","ATL","NO","","","",""
"17035-23169","C","Steven","","Adams","23.41428484235491","14","4900","OKC@LAL","OKC","LAL","","","",""
"17035-9873","C","Robin","","Lopez","22.550000871930802","14","4900","CHI@DEN","CHI","DEN","","","",""
"17035-20640","SG","Jordan","","Clarkson","22.314285278320312","14","4900","OKC@LAL","LAL","OKC","","","",""
"17035-14516","PF","Enes","","Kanter","21.435714721679688","14","4800","OKC@LAL","OKC","LAL","","","",""
"17035-9483","C","Joakim","","Noah","22.1999994913737","12","4600","POR@NY","NY","POR","GTD","Illness","",""
"17035-55062","PF","Nikola","","Jokic","20.107691838191105","13","4500","CHI@DEN","DEN","CHI","","","",""
"17035-16178","SF","Maurice","","Harkless","20.433333333333334","15","4500","POR@NY","POR","NY","","","",""
"17035-12342","PF","Al-Farouq","","Aminu","20.012500762939453","8","4500","POR@NY","POR","NY","O","Calf","",""
"17035-24544","SG","Gary","","Harris","18.23999938964844","5","4500","CHI@DEN","DEN","CHI","O","Foot","",""
"17035-9647","SF","Thabo","","Sefolosha","20.289999389648436","10","4400","NO@ATL","ATL","NO","GTD","Ankle","",""
"17035-14554","SG","E'Twaun","","Moore","19.938462477463943","13","4400","NO@ATL","NO","ATL","","","",""
"17035-14522","PF","Nikola","","Mirotic","19.42142813546317","14","4300","CHI@DEN","CHI","DEN","","","",""
"17035-9737","SG","Nick","","Young","20.057141985212052","14","4200","OKC@LAL","LAL","OKC","","","",""
"17035-16201","PG","Michael","","Carter-Williams","12.266666412353516","3","4200","CHI@DEN","CHI","DEN","O","Knee","",""
"17035-9593","PG","Brandon","","Jennings","18.09230745755709","13","4200","POR@NY","NY","POR","","","",""
"17035-12359","SF","Evan","","Turner","17.00666707356771","15","4100","POR@NY","POR","NY","","","",""
"17035-17230","PG","Langston","","Galloway","17.05714307512556","14","4100","NO@ATL","NO","ATL","","","",""
