Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,37.05,28.9,8.2,10.2,2.0,0.3,4.6,54.0,$11400,4.74
DeMarcus Cousins,C,35.89,26.6,11.4,3.3,1.3,1.2,3.6,46.6,$9800,4.76
Kevin Durant,SF,35.59,26.7,7.8,4.5,1.3,1.4,3.4,44.8,$9700,4.62
Anthony Davis,PF,37.06,22.9,10.9,2.5,1.3,2.0,2.3,44.0,$11400,3.86
LeBron James,SF,36.25,22.9,7.9,7.1,1.4,0.5,3.1,43.7,$10100,4.33
Stephen Curry,PG,34.82,27.3,5.1,6.4,1.8,0.1,3.4,43.4,$9100,4.77
Kawhi Leonard,SF,33.19,22.6,7.3,3.5,1.9,1.2,1.8,41.0,$8500,4.82
Blake Griffin,PF,33.48,21.6,8.6,4.5,1.2,1.0,2.2,40.9,$8800,4.64
Paul George,SF,34.93,22.8,6.4,4.7,2.0,0.6,3.3,39.4,$8600,4.58
Draymond Green,PF,34.80,12.3,9.7,7.0,1.9,1.6,2.7,38.7,$8200,4.72
Chris Paul,PG,31.77,17.4,4.6,8.4,2.3,0.2,2.3,38.2,$9300,4.11
Damian Lillard,PG,35.55,24.1,4,6.6,0.9,0.3,3.1,38.1,$9600,3.97
Kyle Lowry,PG,37.23,19.4,4.9,7.0,1.9,0.4,2.7,37.7,$8300,4.54
DeMar DeRozan,SG,36.30,25.2,4.4,4.2,1.2,0.2,2.1,37.5,$9200,4.07
Andre Drummond,C,32.11,15.6,13.9,1.0,1.4,1.3,2.0,37.2,$8000,4.65
Kemba Walker,PG,35.54,22.7,3.9,5.6,1.5,0.4,2.5,37.1,$8500,4.36
DeAndre Jordan,C,33.35,13.0,14.3,1.0,0.7,2.2,1.7,35.8,$6800,5.26
LaMarcus Aldridge,PF,33.19,19.6,8.8,1.9,0.6,1.6,1.7,35.7,$7100,5.03
Paul Millsap,PF,33.51,16.6,8.6,3.1,1.6,1.7,2.5,35.7,$7400,4.82
Pau Gasol,C,30.54,15.6,9.8,3.1,0.4,2.1,1.9,35.1,$6200,5.66
Isaiah Thomas,PG,33.26,21.6,3.6,6.2,0.8,0.2,2.4,34.8,$8300,4.2
Kevin Love,PF,32.76,18.3,9.7,2.2,0.6,0.6,1.7,33.9,$7800,4.35
Kyrie Irving,PG,36.34,21.5,4.1,4.8,1.0,0.2,2.8,33.2,$7400,4.49
Marc Gasol,C,33.87,17.5,7.7,3.2,1.0,1.1,2.6,33.1,$7100,4.67
Brook Lopez,C,29.27,19.2,7,1.8,0.6,1.6,2.3,32.4,$7300,4.44
C.J. McCollum,SG,34.84,20.7,3.6,4.0,1.4,0.4,2.5,32.1,$7500,4.28
Eric Bledsoe,PG,33.00,17.1,4.1,5.6,1.7,0.3,3.0,31.4,$7200,4.36
Jeff Teague,PG,30.63,14.6,3.7,7.0,1.7,0.5,2.7,31.2,$6500,4.81
Dennis Schroder,PG,31.02,16.1,3.7,7.1,1.3,0.2,3.0,31.2,$6000,5.2
Victor Oladipo,SG,34.24,18.1,4.8,3.7,1.6,0.2,2.3,30.7,$5500,5.58
Thaddeus Young,PF,30.91,14.7,8,2.2,1.5,0.9,1.7,30.7,$5200,5.9
Rudy Gay,SF,35.54,18.4,6.3,1.8,1.3,0.7,2.0,30.7,$7300,4.2
Klay Thompson,SG,34.35,21.5,4,2.4,0.9,0.4,1.9,30.6,$5700,5.37
Nicolas Batum,SG,33.79,15.3,5.6,5.2,1.2,0.6,2.9,30.5,$6700,4.56
Myles Turner,C,29.66,14.2,7.6,1.3,0.8,2.4,2.1,29.6,$6100,4.85
Al Horford,C,28.40,14.0,7,2.7,0.5,1.8,1.7,29.4,$6700,4.38
Dwight Howard,C,30.43,11.3,10.7,1.3,1.2,1.4,2.2,29.1,$7700,3.78
Monta Ellis,SG,33.99,13.4,3.9,6.0,2.0,0.4,2.8,29.1,$5600,5.19
Mike Conley,PG,33.00,15.2,3.4,5.4,1.2,0.2,2.1,28.1,$7200,3.9
Julius Randle,PF,28.39,13.5,9.9,1.8,0.8,0.4,2.5,28.0,$6700,4.18
Harrison Barnes,SF,38.04,17.5,5.5,2.0,0.7,0.2,1.0,27.9,$6100,4.57
Steven Adams,C,32.87,10.1,9.3,1.1,1.0,2.1,1.4,27.7,$5000,5.54
Emmanuel Mudiay,PG,32.92,13.9,4.2,5.7,1.2,0.4,3.3,27.4,$5700,4.81
