Team,Today Opp,Today Situation,Tmrw Opp,Tmrw Situation
L.A. Lakers,at CHA,,,
Charlotte,LAL,,,
New Orleans,at PHI,,OKC,3in4-B2B
Philadelphia,NOP,,,
Indiana,at NYK,3in4-B2B,,
New York,IND,,,
Brooklyn,at TOR,,,
Toronto,BKN,,,
Orlando,at MIA,,,
Miami,ORL,,,
Cleveland,at MIL,,MIL,B2B
Milwaukee,CLE,,at CLE,B2B
Boston,at MEM,,,
Memphis,BOS,,at DET,3in4-B2B
San Antonio,at HOU,,,
Houston,SAS,,at PHO,B2B
Utah,at GSW,,SAC,3in4-B2B
Golden State,UTA,,,
Portland,at SAC,,DAL,B2B
Sacramento,POR,,at UTA,3in4-B2B
Denver,at LAC,3in4-B2B,,
L.A. Clippers,DEN,,,
