Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Tristan Thompson,CLE,$4,400,14,$4,700,10,$16,10,$10,050,12,$9,200,10
Chris Andersen,CLE,$3,500,24,$3,000,23,$10,23,$5,000,26,$6,000,22
Jonas Valanciunas,TOR,$6,000,7,$6,700,6,$28,5,$12,700,8,$12,600,6
Jakob Poeltl,TOR,$3,500,24,$3,000,23,$10,23,$5,000,26,$6,000,22
Nikola Vucevic,ORL,$7,800,2,$6,500,7,$34,4,$13,050,7,$12,300,7
Bismack Biyombo,ORL,$5,000,8,$4,500,11,$14,15,$9,300,14,$8,800,11
Andre Drummond,DET,$7,800,2,$7,900,2,$36,3,$16,450,2,$14,600,2
Aron Baynes,DET,$3,500,24,$3,000,23,$12,17,$5,350,25,$6,000,22
Myles Turner,IND,$6,900,6,$7,100,4,$25,6,$14,850,3,$13,400,4
Al Jefferson,IND,$4,400,14,$3,900,17,$15,11,$8,050,18,$7,700,17
Brook Lopez,BKN,$7,700,4,$7,000,5,$37,2,$14,400,4,$13,300,5
Justin Hamilton,BKN,$4,800,10,$3,500,20,$10,23,$5,000,26,$7,000,19
Tyson Chandler,PHO,$4,200,16,$4,500,11,$15,11,$8,700,15,$8,800,11
Alex Len,PHO,$4,900,9,$4,400,14,$24,8,$10,450,11,$8,800,11
Steven Adams,OKC,$4,800,10,$5,800,8,$17,9,$11,250,9,$11,600,8
Joffrey Lauvergne,OKC,$3,800,23,$3,000,23,$11,20,$7,300,20,$6,000,22
Roy Hibbert,CHA,$3,900,21,$3,600,19,$13,16,$8,200,17,$7,000,19
Spencer Hawes,CHA,$3,500,24,$3,000,23,$11,20,$5,000,26,$6,000,22
Hassan Whiteside,MIA,$8,500,1,$8,300,1,$41,1,$17,600,1,$15,200,1
Willie Reed,MIA,$3,900,21,$3,400,21,$10,23,$7,150,21,$6,700,21
Clint Capela,HOU,$4,700,12,$5,800,8,$10,23,$13,500,6,$11,500,9
Nene Hilario,HOU,$4,000,19,$4,000,16,$11,20,$8,400,16,$7,800,16
Andrew Bogut,DAL,$4,200,16,$4,500,11,$15,11,$10,750,10,$8,800,11
Salah Mejri,DAL,$3,500,24,$3,000,23,$10,23,$5,550,23,$6,000,22
Timofey Mozgov,LAL,$4,000,19,$4,400,14,$10,23,$7,900,19,$8,800,11
Tarik Black,LAL,$3,500,24,$3,000,23,$10,23,$5,000,26,$6,000,22
Rudy Gobert,UTA,$7,000,5,$7,300,3,$25,6,$14,200,5,$13,700,3
Jeff Withey,UTA,$3,500,24,$3,000,23,$10,23,$5,000,26,$6,000,22
Zaza Pachulia,GSW,$4,500,13,$3,800,18,$12,17,$9,500,13,$7,400,18
Anderson Varejao,GSW,$3,500,24,$3,000,23,$10,23,$5,000,26,$6,000,22
Omer Asik,NOP,$3,500,24,$3,100,22,$12,17,$5,700,22,$6,000,22
Alexis Ajinca,NOP,$4,200,16,$3,000,23,$15,11,$5,400,24,$6,000,22
