Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
DeAndre Jordan,LAC,$7700,3,$7100,4,$27,4,$14450,3,,
Mike Tobey,CHA,$3500,18,$3000,18,$10,12,$5000,20,,
Miles Plumlee,CHA,$3500,18,$3000,18,$10,12,$5050,19,,
John Henson,MIL,$3900,13,$4100,12,$10,12,$8500,12,$8100,11
Greg Monroe,MIL,$5800,8,$4900,9,$17,8,$10450,10,$9700,8
Myles Turner,IND,$6400,6,$5800,8,$24,6,$13600,5,$11600,6
Rakeem Christmas,IND,$3500,18,$3000,18,$10,12,$5000,20,$6000,16
Jusuf Nurkic,DEN,$3700,14,$3500,14,$10,12,$7850,16,$6900,14
Tristan Thompson,CLE,$5400,9,$4900,9,$14,10,$10600,9,$9700,8
Hassan Whiteside,MIA,$9100,1,$8500,1,$37,1,$18200,1,$15700,1
Willie Reed,MIA,$3500,18,$4000,13,$10,12,$7900,14,$7800,12
Jahlil Okafor,PHI,$4600,11,$4500,11,$12,11,$9550,11,$8800,10
JaVale McGee,GSW,$3600,16,$3500,14,$10,12,$5000,20,$7000,13
Damian Jones,GSW,$3500,18,$3000,18,$10,12,$5000,20,$6000,16
Steven Adams,OKC,$6300,7,$6000,6,$21,7,$11550,8,$11900,5
Joffrey Lauvergne,OKC,$3500,18,$3200,16,$10,12,$7300,17,$6300,15
Nikola Vucevic,ORL,$7300,4,$7600,2,$26,5,$14300,4,$14000,2
Bismack Biyombo,ORL,$3600,16,$3000,18,$10,12,$7900,14,$6000,16
Salah Mejri,DAL,$3700,14,$3100,17,$10,12,$5400,18,$6000,16
Alan Williams,PHO,$3500,18,$3000,18,$10,12,$5000,20,$6000,16
Clint Capela,HOU,$5300,10,$5900,7,$17,8,$12000,7,$11600,6
Nene Hilario,HOU,$4400,12,$3000,18,$10,12,$8100,13,$6000,16
Al Horford,BOS,$7100,5,$6200,5,$29,3,$13000,6,$12300,4
Tyler Zeller,BOS,$3500,18,$3000,18,$10,12,$5000,20,$6000,16
Rudy Gobert,UTA,$7800,2,$7400,3,$30,2,$15000,2,$14000,2
Jeff Withey,UTA,$3500,18,$3000,18,$10,12,$5000,20,$6000,16
