Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kevin Love,CLE,$7,100,3,$7,100,3,$33,3,$13,350,4,$13,300,3
Channing Frye,CLE,$3,700,22,$3,200,23,$11,18,$5,750,21,$6,300,23
Pascal Siakam,TOR,$3,900,19,$3,400,19,$10,20,$5,000,24,$6,600,20
Patrick Patterson,TOR,$3,600,25,$3,700,15,$12,14,$5,850,20,$7,300,16
Serge Ibaka,ORL,$5,500,10,$5,900,8,$25,9,$11,700,8,$11,600,8
Arinze Onuaku,ORL,$3,500,27,$3,000,24,$10,20,$5,000,24,$6,000,24
Tobias Harris,DET,$6,200,8,$5,600,10,$29,4,$12,100,7,$11,200,9
Jon Leuer,DET,$4,000,15,$3,300,21,$15,13,$5,650,22,$6,400,21
Thaddeus Young,IND,$6,000,9,$5,700,9,$27,7,$11,450,9,$11,200,9
Kevin Seraphin,IND,$3,500,27,$3,000,24,$10,20,$5,000,24,$6,000,24
Trevor Booker,BKN,$4,900,13,$4,300,12,$12,14,$8,400,14,$8,400,12
Luis Scola,BKN,$4,000,15,$3,400,19,$10,20,$5,000,24,$6,700,19
Jared Dudley,PHO,$3,800,21,$3,700,15,$12,14,$7,500,16,$7,400,15
Dragan Bender,PHO,$3,900,19,$3,000,24,$10,20,$5,000,24,$6,000,24
Domantas Sabonis,OKC,$4,000,15,$3,600,17,$10,20,$5,150,23,$7,000,17
Ersan Ilyasova,OKC,$4,200,14,$4,100,13,$18,12,$8,450,13,$8,100,13
Marvin Williams,CHA,$5,100,11,$4,800,11,$21,11,$10,650,10,$9,500,11
Christian Wood,CHA,$3,500,27,$3,000,24,$10,20,$5,000,24,$6,000,24
Derrick Williams,MIA,$5,000,12,$3,600,17,$12,14,$8,850,12,$7,000,17
Udonis Haslem,MIA,$3,500,27,$3,000,24,$10,20,$5,000,24,$6,000,24
Ryan Anderson,HOU,$6,300,7,$6,300,5,$23,10,$12,650,5,$12,600,4
Montrezl Harrell,HOU,$3,500,27,$3,000,24,$10,20,$5,900,19,$6,000,24
Dirk Nowitzki,DAL,$7,100,3,$6,000,7,$28,6,$12,150,6,$11,900,7
Quincy Acy,DAL,$3,700,22,$3,000,24,$10,20,$5,000,24,$6,000,24
Julius Randle,LAL,$6,400,6,$6,200,6,$27,7,$9,950,11,$12,300,6
Thomas Robinson,LAL,$3,700,22,$3,000,24,$10,20,$7,500,16,$6,000,24
Derrick Favors,UTA,$7,000,5,$6,700,4,$29,4,$13,800,3,$12,600,4
Boris Diaw,UTA,$3,500,27,$3,300,21,$10,20,$5,000,24,$6,400,21
Draymond Green,GSW,$8,400,2,$7,500,2,$39,2,$15,650,2,$13,800,2
David West,GSW,$3,600,25,$3,000,24,$11,18,$6,900,18,$6,000,24
Anthony Davis,NOP,$10,800,1,$10,900,1,$52,1,$20,250,1,$19,500,1
Terrence Jones,NOP,$4,000,15,$4,100,13,$10,20,$8,050,15,$8,100,13
