Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Paul Millsap,ATL,$7400,5,$7800,5,$37,4,$15200,4,$14300,5
Kris Humphries,ATL,$3500,28,$3000,32,$10,23,$5250,32,$6000,31
Marvin Williams,CHA,$4800,15,$4800,15,$19,14,$10450,14,$9500,15
Frank Kaminsky,CHA,$4100,19,$4000,19,$10,23,$8250,19,$7800,19
Marquese Chriss,PHO,$3500,28,$3000,32,$10,23,$5000,34,$6000,31
Jared Dudley,PHO,$3800,24,$3700,26,$10,23,$7350,22,$7300,26
Thaddeus Young,IND,$5200,13,$5000,13,$23,10,$11100,11,$9900,13
Lavoy Allen,IND,$3500,28,$3000,32,$10,23,$5000,34,$6000,31
Tobias Harris,DET,$6100,10,$6100,9,$27,8,$11150,9,$12000,9
Henry Ellenson,DET,$3500,28,$3000,32,$10,23,$5000,34,$6000,31
Kevin Love,CLE,$7800,4,$8000,3,$35,5,$14250,6,$14700,3
Channing Frye,CLE,$4100,19,$3800,22,$11,21,$6850,27,$7400,22
Draymond Green,GSW,$8200,3,$8000,3,$39,3,$17050,2,$14700,3
David West,GSW,$3500,28,$3000,32,$10,23,$6200,28,$6000,31
Amir Johnson,BOS,$4300,17,$4300,18,$14,17,$8550,18,$8500,18
Jonas Jerebko,BOS,$3500,28,$3000,32,$10,23,$5200,33,$6000,31
Meyers Leonard,POR,$3500,28,$3200,29,$10,23,$7900,20,$6300,29
Noah Vonleh,POR,$3500,28,$3000,32,$10,23,$5000,34,$6000,31
Anthony Davis,NOP,$11400,1,$10800,1,$55,1,$21700,1,$19200,1
Terrence Jones,NOP,$5000,14,$6200,8,$12,18,$7650,21,$12200,8
Trevor Booker,BKN,$5500,11,$5800,11,$20,13,$9300,16,$11500,11
Luis Scola,BKN,$3500,28,$3100,31,$10,23,$5000,34,$6000,31
Domantas Sabonis,OKC,$3500,28,$3500,27,$11,21,$5650,31,$7000,27
Enes Kanter,OKC,$4700,16,$4600,16,$19,14,$11900,8,$9100,16
JaMychal Green,MEM,$3900,22,$3500,27,$12,18,$9050,17,$7000,27
Zach Randolph,MEM,$5400,12,$4900,14,$22,12,$11150,9,$9700,14
Dirk Nowitzki,DAL,$6500,8,$5300,12,$28,7,$10850,13,$10500,12
Dwight Powell,DAL,$4000,21,$3900,20,$10,23,$7150,24,$7700,20
Pascal Siakam,TOR,$3700,25,$3200,29,$10,23,$5000,34,$6300,29
Patrick Patterson,TOR,$3900,22,$3900,20,$12,18,$6900,26,$7700,20
Kenneth Faried,DEN,$6300,9,$5900,10,$18,16,$9550,15,$11600,10
Nikola Jokic,DEN,$4300,17,$4500,17,$23,10,$12250,7,$8800,17
LaMarcus Aldridge,SAS,$7100,6,$6900,6,$32,6,$14400,5,$13000,6
David Lee,SAS,$3500,28,$3800,22,$10,23,$6150,29,$7400,22
Julius Randle,LAL,$6700,7,$6800,7,$27,8,$11000,12,$12700,7
Larry Nance,LAL,$3700,25,$3800,22,$10,23,$7350,22,$7400,22
Blake Griffin,LAC,$8800,2,$8300,2,$41,2,$17050,2,$15200,2
Marreese Speights,LAC,$3600,27,$3800,22,$10,23,$6150,29,$7400,22
Anthony Tolliver,SAC,$3500,28,$3000,32,$10,23,$5000,34,$6000,31
Omri Casspi,SAC,$3500,28,$3000,32,$10,23,$7000,25,$6000,31
