Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kyrie Irving,CLE,$7,500,5,$7,700,3,$35,6,$15,950,3,$14,300,3
Kay Felder,CLE,$4,000,19,$3,000,22,$10,19,$5,750,24,$6,000,20
Kyle Lowry,TOR,$7,700,4,$7,600,4,$38,4,$15,550,4,$14,000,4
Cory Joseph,TOR,$3,500,25,$3,300,18,$11,18,$6,500,22,$6,400,18
Elfrid Payton,ORL,$5,900,14,$5,700,11,$23,11,$12,000,11,$11,200,12
D.J. Augustin,ORL,$3,500,25,$3,000,22,$10,19,$8,000,17,$6,000,20
Ish Smith,DET,$6,200,11,$4,900,15,$28,8,$8,900,15,$9,800,15
Beno Udrih,DET,$3,500,25,$3,300,18,$10,19,$5,000,26,$6,400,18
Jeff Teague,IND,$6,300,10,$6,200,9,$28,8,$12,200,10,$12,300,8
Aaron Brooks,IND,$3,500,25,$3,000,22,$10,19,$5,000,26,$6,000,20
Jeremy Lin,BKN,$6,200,11,$6,000,10,$23,11,$13,050,8,$11,900,10
Greivis Vasquez,BKN,$3,700,21,$3,100,20,$10,19,$7,400,20,$6,000,20
Eric Bledsoe,PHO,$7,400,6,$7,400,5,$38,4,$15,400,5,$14,000,4
Tyler Ulis,PHO,$3,600,24,$3,000,22,$10,19,$5,000,26,$6,000,20
Russell Westbrook,OKC,$12,000,1,$11,800,1,$54,1,$25,000,1,$21,100,1
Semaj Christon,OKC,$3,500,25,$3,000,22,$10,19,$5,000,26,$6,000,20
Kemba Walker,CHA,$7,900,3,$7,400,5,$39,3,$13,850,6,$14,000,4
Ramon Sessions,CHA,$3,700,21,$3,000,22,$10,19,$5,300,25,$6,000,20
Goran Dragic,MIA,$6,800,7,$6,600,8,$30,7,$13,800,7,$12,300,8
Tyler Johnson,MIA,$4,600,17,$4,300,16,$15,16,$7,650,18,$8,400,16
Tyler Ennis,HOU,$3,700,21,$3,000,22,$10,19,$5,000,26,$6,000,20
Bobby Brown,HOU,$3,500,25,$3,000,22,$10,19,$5,000,26,$6,000,20
Deron Williams,DAL,$6,400,8,$5,700,11,$18,14,$11,700,13,$11,300,11
J.J. Barea,DAL,$5,100,16,$3,900,17,$13,17,$7,450,19,$7,700,17
D'Angelo Russell,LAL,$6,400,8,$6,900,7,$25,10,$13,050,8,$13,000,7
Marcelo Huertas,LAL,$3,500,25,$3,000,22,$10,19,$5,000,26,$6,000,20
George Hill,UTA,$6,100,13,$5,500,13,$21,13,$11,850,12,$10,900,13
Shelvin Mack,UTA,$4,500,18,$3,100,20,$10,19,$8,350,16,$6,000,20
Stephen Curry,GSW,$9,000,2,$9,300,2,$53,2,$20,450,2,$17,200,2
Shaun Livingston,GSW,$3,500,25,$3,000,22,$10,19,$6,300,23,$6,000,20
Tim Frazier,NOP,$5,300,15,$5,400,14,$18,14,$10,600,14,$10,600,14
Langston Galloway,NOP,$4,000,19,$3,000,22,$10,19,$6,600,21,$6,000,20
