Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Dennis Schroder,ATL,$6,300,7,$6,500,6,$19,13,$13,400,7,,
Malcolm Delaney,ATL,$3,500,25,$3,000,22,$10,23,$5,950,25,,
Sergio Rodriguez,PHI,,,,,$17,16,,,,
T.J. McConnell,PHI,$4,900,16,$3,700,20,$12,19,$5,000,27,,
Isaiah Thomas,BOS,$8,100,2,$7,200,3,$43,2,$14,250,4,$13,600,3
Demetrius Jackson,BOS,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Kemba Walker,CHA,$7,900,3,$7,100,4,$39,3,$14,150,5,$13,300,4
Brian Roberts,CHA,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Andrew Harrison,MEM,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Mike Conley,MEM,$6,800,6,$6,800,5,$31,7,$14,000,6,$12,700,5
Derrick Rose,NYK,$5,900,11,$5,800,12,$25,10,$11,850,12,$11,500,11
Brandon Jennings,NYK,$4,400,18,$4,200,16,$12,19,$8,850,18,$8,300,15
Elfrid Payton,ORL,$5,900,11,$5,600,13,$23,11,$12,050,10,$11,200,12
D.J. Augustin,ORL,$3,500,25,$3,000,22,$10,23,$8,050,19,$6,000,20
Kyrie Irving,CLE,$7,500,4,$7,700,2,$35,4,$16,950,2,$14,200,2
Kay Felder,CLE,$4,000,20,$3,000,22,$10,23,$6,100,24,$6,000,20
Jeff Teague,IND,$6,300,7,$6,300,8,$28,8,$11,850,12,$12,500,7
Aaron Brooks,IND,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Rajon Rondo,CHI,$7,400,5,$6,400,7,$33,5,$12,050,10,$12,600,6
Isaiah Canaan,CHI,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Tim Frazier,NOP,$5,300,14,$5,600,13,$18,14,$9,850,15,$11,100,13
Langston Galloway,NOP,$4,000,20,$3,000,22,$10,23,$6,150,23,$6,000,20
Tony Parker,SAS,$4,500,17,$4,100,17,$18,14,$8,950,17,$8,000,16
Patty Mills,SAS,$3,900,22,$3,800,19,$12,19,$7,800,20,$7,400,18
Jeremy Lin,BKN,$6,200,10,$5,900,10,$23,11,$12,850,8,$11,600,9
Greivis Vasquez,BKN,$3,700,23,$3,000,22,$10,23,$7,300,21,$6,000,20
Matthew Dellavedova,MIL,$4,400,18,$3,900,18,$15,17,$9,450,16,$7,700,17
Jason Terry,MIL,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Damian Lillard,POR,$9,100,1,$9,100,1,$46,1,$17,550,1,$16,900,1
Shabazz Napier,POR,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Emmanuel Mudiay,DEN,$5,700,13,$5,900,10,$26,9,$12,200,9,$11,600,9
Jamal Murray,DEN,$3,500,25,$3,600,21,$11,22,$6,600,22,$7,100,19
Ricky Rubio,MIN,$6,300,7,$6,000,9,$33,5,$14,950,3,$11,900,8
Tyus Jones,MIN,$3,500,25,$3,000,22,$10,23,$5,000,27,$6,000,20
Ty Lawson,SAC,$5,200,15,$5,600,13,$15,17,$10,600,14,$11,100,13
Garrett Temple,SAC,$3,600,24,$3,000,22,$10,23,$5,350,26,$6,000,20
