Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Isaiah Thomas,BOS,$8500,5,,,$46,4,$17000,6,,
Terry Rozier,BOS,$3500,32,,,$10,22,$5300,36,,
Ron Baker,NYK,$3500,32,,,$10,22,$5000,37,,
Chasson Randle,NYK,$3500,32,,,$10,22,$5000,37,,
Kemba Walker,CHA,$7600,8,$8000,5,$41,6,$17650,5,,
Brian Roberts,CHA,$3500,32,$3000,32,$10,22,$5000,37,,
Russell Westbrook,OKC,$13600,1,$13300,1,$64,1,$25000,1,,
Norris Cole,OKC,$3500,32,$3000,32,$10,22,$5000,37,,
Mike Conley,MEM,$8300,6,$8300,4,$38,7,$14250,8,,
Andrew Harrison,MEM,$3500,32,$3500,27,$10,22,$5000,37,,
D'Angelo Russell,LAL,$6700,13,$6500,13,$29,11,$13550,10,,
Jordan Clarkson,LAL,$5900,15,$5800,16,$22,14,$10500,16,,
Yogi Ferrell,DAL,$4600,21,$3900,21,$10,22,$10450,17,,
Devin Harris,DAL,$3500,32,$3000,32,$10,22,$5800,34,,
Matthew Dellavedova,MIL,$3500,32,$3800,23,$10,22,$8000,26,,
Jason Terry,MIL,$3500,32,$3000,32,$10,22,$5000,37,,
Dante Exum,UTA,$3500,32,$3000,32,$10,22,$6400,32,,
Shelvin Mack,UTA,$3600,28,$3900,21,$10,22,$8350,25,,
Tony Parker,SAS,$3700,25,$3300,31,$10,22,$8000,26,,
Patty Mills,SAS,$4300,23,$3400,30,$12,21,$7800,28,,
Jamal Murray,DEN,$3700,25,$3800,23,$10,22,$7150,29,$7400,16
Emmanuel Mudiay,DEN,$3700,25,$3000,32,$10,22,$9400,22,$6000,21
Goran Dragic,MIA,$7800,7,$7700,7,$33,8,$13800,9,$14200,4
Tyler Johnson,MIA,$5600,17,$5600,17,$19,17,$10300,19,$11100,12
Rajon Rondo,CHI,$6900,12,$6900,11,$21,15,$11650,14,$12900,8
Michael Carter-Williams,CHI,$3500,32,$3000,32,$10,22,$6650,31,$6000,21
Jrue Holiday,NOP,$7300,9,$7000,10,$30,9,$15400,7,$13300,7
T.J. McConnell,PHI,$5600,17,$5900,15,$20,16,$10450,17,$11600,11
Sergio Rodriguez,PHI,$4500,22,$3800,23,$10,22,$8500,24,$7400,16
Cory Joseph,TOR,$5400,19,$5400,18,$14,20,$10000,20,$10600,13
Delon Wright,TOR,$3600,28,$3500,27,$10,22,$5000,37,$7000,18
Jeff Teague,IND,$7000,10,$6700,12,$28,12,$12550,11,$12600,9
Aaron Brooks,IND,$3600,28,$3000,32,$10,22,$5000,37,$6000,21
Kyrie Irving,CLE,$8600,4,$7900,6,$43,5,$17850,4,$14700,3
Deron Williams,CLE,$3500,32,$4600,20,$10,22,$9500,21,$9100,15
Dennis Schroder,ATL,$7000,10,$7400,8,$30,9,$11950,12,$14000,5
Jose Calderon,ATL,$3500,32,$3000,32,$10,22,$5000,37,$6000,21
Jeremy Lin,BKN,$5900,15,$6200,14,$19,17,$11800,13,$12300,10
Spencer Dinwiddie,BKN,$3600,28,$3600,26,$10,22,$6900,30,$7000,18
John Wall,WAS,$10400,2,$9800,2,$50,2,$18700,3,$18100,1
Brandon Jennings,WAS,$4100,24,$3500,27,$10,22,$8650,23,$7000,18
Stephen Curry,GSW,$10000,3,$9600,3,$49,3,$20550,2,$17700,2
Shaun Livingston,GSW,$3500,32,$3000,32,$10,22,$5350,35,$6000,21
Patrick Beverley,HOU,$4800,20,$5000,19,$17,19,$11450,15,$9800,14
Bobby Brown,HOU,$3500,32,$3000,32,$10,22,$5000,37,$6000,21
Tyler Ulis,PHO,$6400,14,$7200,9,$24,13,$6100,33,$13600,6
Ronnie Price,PHO,$3500,32,$3000,32,$10,22,$5000,37,$6000,21
