Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
LeBron James,CLE,$9,900,1,$9,400,2,$53,1,$19,800,2,$17,300,2
Richard Jefferson,CLE,$3,600,21,$3,000,25,$10,22,$5,000,23,$6,000,24
DeMarre Carroll,TOR,$4,500,14,$4,600,12,$15,16,$8,800,14,$9,100,12
Terrence Ross,TOR,$3,500,23,$3,200,22,$10,22,$5,000,23,$6,300,22
Aaron Gordon,ORL,$5,600,5,$6,100,4,$27,4,$12,050,5,$12,000,4
Jeff Green,ORL,$4,700,12,$3,800,16,$16,13,$6,500,22,$7,400,16
Marcus Morris,DET,$5,700,4,$5,000,9,$19,8,$9,350,12,$9,800,9
Stanley Johnson,DET,$3,500,23,$3,700,17,$13,19,$8,800,14,$7,400,16
Paul George,IND,$9,200,3,$8,400,3,$46,3,$18,350,3,$15,600,3
Glenn Robinson,IND,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Bojan Bogdanovic,BKN,$4,200,16,$4,200,14,$17,11,$7,300,18,$8,400,14
Rondae Hollis-Jefferson,BKN,$3,900,19,$4,200,14,$16,13,$10,600,8,$8,400,14
T.J. Warren,PHO,$4,600,13,$4,400,13,$15,16,$8,400,16,$8,700,13
P.J. Tucker,PHO,$4,300,15,$3,500,19,$16,13,$7,700,17,$6,900,21
Andre Roberson,OKC,$3,900,19,$3,500,19,$11,21,$7,050,20,$7,000,18
Kyle Singler,OKC,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Michael Kidd-Gilchrist,CHA,$5,600,5,$5,400,7,$25,5,$10,850,7,$10,600,7
Treveon Graham,CHA,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Justise Winslow,MIA,$4,900,11,$5,100,8,$17,11,$10,350,9,$10,200,8
Luke Babbitt,MIA,$3,500,23,$3,100,24,$10,22,$5,000,23,$6,000,24
Trevor Ariza,HOU,$5,400,8,$5,500,6,$23,7,$11,350,6,$10,900,6
Sam Dekker,HOU,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Harrison Barnes,DAL,$5,100,9,$5,900,5,$19,8,$13,350,4,$11,600,5
Dorian Finney-Smith,DAL,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Luol Deng,LAL,$5,000,10,$4,800,11,$24,6,$9,600,11,$9,400,11
Metta World Peace,LAL,$3,500,23,$3,000,25,$10,22,$5,000,23,$6,000,24
Joe Johnson,UTA,$5,600,5,$4,900,10,$18,10,$10,350,9,$9,800,9
Joe Ingles,UTA,$3,500,23,$3,200,22,$10,22,$5,000,23,$6,300,22
Kevin Durant,GSW,$9,300,2,$9,600,1,$50,2,$20,700,1,$17,700,1
Andre Iguodala,GSW,$4,100,17,$3,500,19,$15,16,$7,100,19,$7,000,18
Solomon Hill,NOP,$4,000,18,$3,600,18,$12,20,$9,150,13,$7,000,18
Dante Cunningham,NOP,$3,600,21,$3,000,25,$10,22,$6,900,21,$6,000,24
