Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kent Bazemore,ATL,$4,900,16,$5,000,13,$22,13,$10,750,13,,
Thabo Sefolosha,ATL,$3,900,22,$3,500,23,$11,23,$6,250,26,,
Robert Covington,PHI,$5,900,9,$5,100,12,$23,12,$11,300,11,,
Jerami Grant,PHI,$5,100,15,$4,200,17,$10,26,$5,950,27,,
Jae Crowder,BOS,$5,600,10,$5,500,10,$26,9,$11,200,12,$10,900,10
James Young,BOS,$3,500,30,$3,000,28,$10,26,$5,000,31,$6,000,24
Michael Kidd-Gilchrist,CHA,$5,600,10,$5,400,11,$25,11,$11,700,10,$10,600,11
Treveon Graham,CHA,$3,500,30,$3,000,28,$10,26,$5,000,31,$6,000,24
James Ennis,MEM,$4,100,19,$4,300,16,$10,26,$8,250,18,$8,400,14
Vince Carter,MEM,$3,900,22,$3,000,28,$10,26,$5,900,28,$6,000,24
Carmelo Anthony,NYK,$7,800,5,$7,400,5,$41,5,$16,950,3,$14,000,4
Lance Thomas,NYK,$3,500,30,$3,000,28,$10,26,$5,600,30,$6,000,24
Aaron Gordon,ORL,$5,600,10,$6,000,9,$27,8,$12,100,8,$11,900,9
Jeff Green,ORL,$4,700,17,$3,900,21,$16,17,$6,550,24,$7,700,18
LeBron James,CLE,$9,900,1,$9,600,1,$53,1,$20,400,1,$17,700,1
Richard Jefferson,CLE,$3,600,28,$3,000,28,$10,26,$5,000,31,$6,000,24
Paul George,IND,$9,200,2,$8,400,3,$46,2,$18,100,2,$15,500,3
Glenn Robinson,IND,$3,500,30,$3,000,28,$10,26,$5,000,31,$6,000,24
Jimmy Butler,CHI,$8,200,4,$7,600,4,$43,3,$13,500,6,$13,900,5
Doug McDermott,CHI,$3,500,30,$3,300,27,$11,23,$6,450,25,$6,400,23
Solomon Hill,NOP,$4,000,21,$3,500,23,$12,22,$7,800,21,$6,900,21
Dante Cunningham,NOP,$3,600,28,$3,000,28,$10,26,$6,900,23,$6,000,24
Kyle Anderson,SAS,$3,500,30,$3,800,22,$11,23,$8,350,17,$7,400,19
Kawhi Leonard,SAS,$8,400,3,$8,900,2,$42,4,$16,400,4,$16,400,2
Bojan Bogdanovic,BKN,$4,200,18,$4,400,15,$17,15,$8,200,19,$8,700,13
Rondae Hollis-Jefferson,BKN,$3,900,22,$4,200,17,$16,17,$11,900,9,$8,300,15
Mirza Teletovic,MIL,$3,900,22,$4,000,19,$17,15,$9,350,16,$7,800,16
Michael Beasley,MIL,$3,800,26,$3,500,23,$15,19,$5,650,29,$6,900,21
Moe Harkless,POR,$5,400,13,$4,000,19,$13,21,$7,400,22,$7,800,16
Evan Turner,POR,$5,200,14,$4,500,14,$21,14,$10,000,15,$8,800,12
Danilo Gallinari,DEN,$7,000,6,$6,200,7,$32,6,$10,600,14,$12,300,6
Juan Hernangomez,DEN,,,,,,,,,,
Andrew Wiggins,MIN,$6,600,8,$6,600,6,$29,7,$14,800,5,$12,300,6
Shabazz Muhammad,MIN,$3,800,26,$3,000,28,$10,26,$5,000,31,$6,000,24
Rudy Gay,SAC,$7,000,6,$6,200,7,$26,9,$12,300,7,$12,200,8
Matt Barnes,SAC,$4,100,19,$3,500,23,$15,19,$7,900,20,$7,000,20
