Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Harrison Barnes,DAL,$5800,7,$6200,7,$26,6,$12900,6,,
Dorian Finney-Smith,DAL,$3500,19,$3000,23,$10,15,$6000,22,,
Rondae Hollis-Jefferson,BKN,$4500,9,$4700,12,$11,14,$9100,12,,
Jae Crowder,BOS,$6100,6,$6000,8,$23,7,$12400,7,,
James Young,BOS,$3500,19,$3000,23,$10,15,$5000,26,,
Robert Covington,PHI,$7100,4,$6900,4,$27,5,$14350,5,,
Justin Anderson,PHI,$3800,14,$3800,18,$10,15,$7450,16,,
T.J. Warren,PHO,,,$6900,4,$23,7,$9950,10,,
Jared Dudley,PHO,,,$3000,23,$10,15,$5950,23,,
Marcus Morris,DET,,,$5300,10,$20,10,$11700,9,,
Tobias Harris,DET,,,$6000,8,$21,9,$12100,8,,
Moe Harkless,POR,$4000,12,$4400,13,$15,11,$9650,11,$8700,6
Evan Turner,POR,$4700,8,$4300,14,$15,11,$9050,13,$8400,7
Rodney McGruder,MIA,$3500,19,$3000,23,$10,15,$5100,25,$6000,15
Luke Babbitt,MIA,$3500,19,$3000,23,$10,15,$5000,26,$6000,15
Andrew Wiggins,MIN,$7100,4,$6700,6,$35,4,$14600,4,$12600,4
Shabazz Muhammad,MIN,$3700,15,$4000,15,$10,15,$6050,21,$7800,8
Solomon Hill,NOP,$4100,11,$4000,15,$10,15,$7350,18,$7800,8
Dante Cunningham,NOP,$3700,15,$3600,20,$10,15,$6900,20,$7000,13
C.J. Miles,IND,$3700,15,$4000,15,$10,15,$8050,14,$7800,8
Paul George,IND,$8400,3,$8800,3,$38,3,$15300,3,$16300,3
DeMarre Carroll,TOR,$4000,12,$3600,20,$10,15,$7650,15,$7100,12
P.J. Tucker,TOR,$3700,15,$3700,19,$10,15,$7150,19,$7300,11
Kawhi Leonard,SAS,$9900,2,$10000,2,$50,2,$18800,2,$17900,2
Davis Bertans,SAS,$3500,19,$3000,23,$10,15,$5000,26,$6000,15
LeBron James,CLE,$12000,1,$11400,1,$56,1,$24000,1,$20500,1
Richard Jefferson,CLE,$3500,19,$3300,22,$10,15,$5650,24,$6400,14
Brandon Ingram,LAL,$4400,10,$4900,11,$14,13,$7400,17,$9800,5
Corey Brewer,LAL,$3500,19,$3000,23,$10,15,$5000,26,$6000,15
