Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kyle Korver,ATL,$3,700,20,$3,500,18,$11,14,$7,300,17,,
Tim Hardaway Jr.,ATL,$3,600,24,$3,300,22,$10,15,$5,150,24,,
Gerald Henderson,PHI,$4,100,14,$3,500,18,$10,15,$7,700,15,,
Nik Stauskas,PHI,$3,700,20,$3,000,23,$10,15,$5,000,25,,
Avery Bradley,BOS,$5,800,6,$5,100,8,$22,7,$10,100,9,$10,100,8
Gerald Green,BOS,$3,600,24,$3,000,23,$10,15,$5,000,25,$6,000,20
Nicolas Batum,CHA,$6,200,4,$6,400,3,$27,4,$14,850,2,$12,600,3
Aaron Harrison,CHA,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Troy Daniels,MEM,$3,500,27,$3,000,23,$10,15,$5,550,23,$6,000,20
Courtney Lee,NYK,$3,600,24,$3,800,14,$10,15,$8,150,12,$7,400,14
Sasha Vujacic,NYK,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Evan Fournier,ORL,$5,800,6,$6,100,5,$20,8,$11,400,5,$12,000,5
Mario Hezonja,ORL,$4,100,14,$3,500,18,$10,15,$6,800,19,$7,000,18
J.R. Smith,CLE,$4,400,11,$4,200,10,$17,9,$9,450,10,$8,400,10
DeAndre Liggins,CLE,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Monta Ellis,IND,$6,100,5,$5,500,7,$25,5,$10,950,7,$10,900,7
Joseph Young,IND,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Dwyane Wade,CHI,$7,100,2,$6,400,3,$34,2,$11,250,6,$12,600,3
Denzel Valentine,CHI,$3,700,20,$3,000,23,$10,15,$6,250,22,$6,000,20
E'Twaun Moore,NOP,$4,500,10,$4,000,11,$15,11,$7,450,16,$7,800,11
Buddy Hield,NOP,$4,300,12,$3,700,16,$10,15,$8,100,13,$7,300,16
Manu Ginobili,SAS,$3,700,20,$3,900,12,$10,15,$6,450,21,$7,700,12
Bryn Forbes,SAS,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Joe Harris,BKN,$4,100,14,$3,400,21,$10,15,$5,000,25,$6,700,19
Sean Kilpatrick,BKN,$3,900,17,$3,600,17,$10,15,$6,650,20,$7,100,17
Giannis Antetokounmpo,MIL,$9,500,1,$8,800,1,$50,1,$19,650,1,$16,300,1
Rashad Vaughn,MIL,$3,900,17,$3,000,23,$10,15,$7,850,14,$6,000,20
C.J. McCollum,POR,$6,800,3,$6,800,2,$32,3,$14,050,3,$12,700,2
Allen Crabbe,POR,$4,300,12,$3,800,14,$12,12,$8,350,11,$7,400,14
Gary Harris,DEN,$4,900,9,$4,800,9,$17,9,$10,250,8,$9,400,9
Malik Beasley,DEN,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Zach LaVine,MIN,$5,600,8,$5,600,6,$25,5,$12,000,4,$11,100,6
Brandon Rush,MIN,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
Arron Afflalo,SAC,$3,800,19,$3,900,12,$12,12,$7,050,18,$7,700,12
Malachi Richardson,SAC,$3,500,27,$3,000,23,$10,15,$5,000,25,$6,000,20
