Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Nick Young,LAL,$3600,23,$3500,16,$10,19,$5000,24,$7000,16
Louis Williams,LAL,$4300,14,$4100,10,$16,12,$8400,14,$8100,10
Monta Ellis,IND,$5900,5,$5400,7,$25,5,$11650,5,$10600,7
Joseph Young,IND,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Eric Gordon,HOU,$5200,9,,,$20,9,$9800,10,,
James Harden,HOU,$11200,1,,,$54,1,$24850,1,,
J.R. Smith,CLE,$4400,12,,,$17,11,$10550,8,,
Iman Shumpert,CLE,$3900,18,,,$11,16,$7850,17,,
Evan Fournier,ORL,$6000,4,$6000,4,$22,8,$13100,4,$11900,4
C.J. Wilcox,ORL,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Gerald Henderson,PHI,$3900,18,$3400,18,$10,19,$7900,16,$6700,18
Hollis Thompson,PHI,$3800,20,$3000,20,$10,19,$5000,24,$6000,19
Courtney Lee,NYK,$3700,21,$3800,13,$10,19,$7550,19,$7400,13
Sasha Vujacic,NYK,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Kentavious Caldwell-Pope,DET,$4500,10,$4600,8,$19,10,$8800,12,$9100,8
Darrun Hilliard,DET,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Arron Afflalo,SAC,$3700,21,$3700,14,$11,16,$6800,21,$7300,14
Malachi Richardson,SAC,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Dion Waiters,MIA,$4500,10,$4200,9,$16,12,$8450,13,$8400,9
Rodney McGruder,MIA,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Giannis Antetokounmpo,MIL,$9600,2,$8900,1,$50,2,$18550,2,$16400,1
Rashad Vaughn,MIL,$4000,16,$3100,19,$10,19,$7400,20,$6000,19
E'Twaun Moore,NOP,$4400,12,$4000,11,$15,14,$7650,18,$7800,11
Buddy Hield,NOP,$4000,16,$3500,16,$10,19,$9600,11,$6900,17
Troy Daniels,MEM,$3500,25,$3000,20,$10,19,$5750,23,$6000,19
Zach LaVine,MIN,$5900,5,$5700,5,$25,5,$11250,7,$11200,5
Brandon Rush,MIN,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Rodney Hood,UTA,$5300,8,$5700,5,$24,7,$9850,9,$11200,5
Manu Ginobili,SAS,$3600,23,$3700,14,$11,16,$5800,22,$7300,14
Bryn Forbes,SAS,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
Klay Thompson,GSW,$5800,7,$6500,3,$37,3,$11500,6,$12300,3
Ian Clark,GSW,$3500,25,$3000,20,$10,19,$5000,24,$6000,19
C.J. McCollum,POR,$7300,3,$7200,2,$32,4,$13700,3,$13600,2
Allen Crabbe,POR,$4300,14,$4000,11,$12,15,$8150,15,$7800,11
