Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161106;4885;SG;Booker, Devin;1;50.1;$5,900;pho;A;lal;108;119;45.25;39pt 3rb 7as 3to 3trey 13-29fg 10-10ft
20161106;4657;SG;McCollum, C.J.;1;47.8;$6,600;por;A;mem;100;94;39.12;37pt 4rb 2as 1st 1bl 1to 6trey 13-23fg 5-6ft
20161106;4102;PG;Hill, George;1;42.9;$6,000;uta;A;nyk;114;109;34.60;23pt 2rb 9as 2st 1trey 8-12fg 6-7ft
20161106;3891;PG;Lowry, Kyle;1;40.8;$7,500;tor;H;sac;91;96;39.37;15pt 4rb 10as 2st 1bl 3trey 5-16fg 2-3ft
20161106;4773;PG;Mudiay, Emmanuel;1;39.6;$5,900;den;A;bos;123;107;38.57;30pt 8rb 2as 1st 1bl 7to 3trey 11-18fg 5-5ft
20161106;4269;SG;Bradley, Avery;1;38.2;$6,800;bos;H;den;107;123;33.90;14pt 11rb 6as 1bl 1trey 6-17fg 1-2ft
20161106;3979;PG;Conley, Mike;1;37.3;$7,000;mem;H;por;94;100;30.62;16pt 4rb 7as 2st 2bl 2to 1trey 5-11fg 5-5ft
20161106;4420;PG;Thomas, Isaiah;1;36.7;$8,100;bos;H;den;107;123;32.93;30pt 1rb 5as 1st 4to 1trey 9-17fg 11-12ft
20161106;4523;PG;Lillard, Damian;1;35.7;$9,700;por;A;mem;100;94;32.90;19pt 6rb 7as 1st 3to 2trey 3-11fg 11-11ft
20161106;4036;SG;Young, Nick;1;34.9;$3,700;lal;H;pho;119;108;35.98;22pt 7rb 1as 1st 1bl 1to 3trey 8-14fg 3-3ft
20161106;3882;PG;Barea, Jose;1;33.7;$5,200;dal;H;mil;86;75;46.07;21pt 6rb 5as 1st 4to 2trey 8-18fg 3-3ft
20161106;4744;SG;Hood, Rodney;1;33.2;$5,400;uta;A;nyk;114;109;38.28;18pt 6rb 4as 1st 2trey 7-13fg 2-3ft
20161106;4073;PG;Rose, Derrick;1;32.8;$5,900;nyk;H;uta;109;114;36.18;18pt 4rb 8as 1st 4to 7-14fg 4-4ft
20161106;4211;SG;DeRozan, DeMar;1;31.3;$8,800;tor;H;sac;91;96;37.77;23pt 4rb 3as 1to 1trey 7-20fg 8-10ft
20161106;3816;SG;Williams, Louis;;27.8;$4,700;lal;H;pho;119;108;25.80;14pt 4rb 6as 2st 4to 1trey 5-12fg 3-5ft
20161106;4621;SG;Antetokounmpo, Giannis;1;27.4;$9,900;mil;A;dal;75;86;26.18;11pt 7rb 2as 3st 2bl 5to 1trey 4-12fg 2-4ft
20161106;3619;SG;Allen, Tony;1;26.4;$3,900;mem;H;por;94;100;22.13;11pt 7rb 4st 1to 1trey 3-5fg 4-4ft
