Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161114;4079;PG;Westbrook, Russell;1;56;$11,600;okc;A;det;88;104;33.57;33pt 15rb 8as 7to 11-21fg 11-12ft
20161114;4224;SG;Harden, James;1;53.9;$11,700;hou;H;phi;115;88;33.02;33pt 7rb 9as 1st 1bl 5to 4trey 12-20fg 5-5ft
20161114;4420;PG;Thomas, Isaiah;1;52.1;$8,100;bos;A;nor;105;106;36.28;37pt 3rb 7as 1st 1to 3trey 13-29fg 8-10ft
20161114;3786;PG;Paul, Chris;1;48.3;$9,200;lac;H;bkn;127;95;25.08;21pt 4rb 9as 5st 1to 4trey 8-11fg 1-1ft
20161114;4515;SG;Waiters, Dion;1;39.9;$4,300;mia;A;sas;90;94;35.55;27pt 2rb 3as 2st 3bl 4to 3trey 12-26fg
20161114;4221;PG;Teague, Jeff;1;35.1;$6,200;ind;H;orl;88;69;28.60;11pt 8rb 5as 1st 3bl 1to 1trey 4-9fg 2-2ft
20161114;3979;PG;Conley, Mike;1;34.1;$7,000;mem;A;uta;102;96;30.67;18pt 3rb 7as 1st 2trey 7-14fg 2-2ft
20161114;4677;PG;Smart, Marcus;1;32.7;$5,100;bos;A;nor;105;106;37.20;15pt 6rb 3as 4st 2to 3trey 6-12fg
20161114;4756;PG;Johnson, Tyler;;31.6;$4,900;mia;A;sas;90;94;33.03;11pt 8rb 6as 1st 4-9fg 3-6ft
20161114;4269;SG;Bradley, Avery;1;30.5;$7,000;bos;A;nor;105;106;34.38;19pt 10rb 1as 2to 3trey 7-17fg 2-2ft
20161114;3861;SG;Redick, J.J.;1;29.4;$4,100;lac;H;bkn;127;95;22.98;18pt 2rb 4as 2st 1to 2trey 6-13fg 4-4ft
20161114;4558;SG;Holiday, Justin;;28.8;$3,500;nyk;H;dal;93;77;25.38;16pt 4rb 2as 2st 1bl 1to 2trey 6-7fg 2-2ft
20161114;4735;PG;Galloway, Langston;;28.7;$3,700;nor;H;bos;106;105;31.63;21pt 1rb 3as 2st 2to 3trey 8-14fg 2-2ft
20161114;4315;PG;Smith, Ishmael;1;25.7;$5,300;det;H;okc;104;88;30.10;11pt 6rb 3as 2st 1bl 3to 4-8fg 3-4ft
20161114;4377;PG;Mack, Shelvin;;25.6;$3,900;uta;H;mem;96;102;27.52;17pt 3rb 4as 1to 2trey 7-9fg 1-2ft
20161114;4616;SG;Caldwell-Pope, Kentavious;1;25.6;$4,700;det;H;okc;104;88;33.53;17pt 3rb 4as 1st 3to 1trey 7-17fg 2-3ft
20161114;3116;SG;Crawford, Jamal;;25.5;$4,100;lac;H;bkn;127;95;21.90;17pt 5as 1st 1to 3trey 5-10fg 4-4ft
20161114;4190;SG;Henderson, Gerald;1;24.7;$3,900;phi;A;hou;88;115;27.55;11pt 1rb 3as 3st 1bl 1trey 4-8fg 2-2ft
20161114;4699;PG;Payton, Elfrid;1;24.4;$5,400;orl;A;ind;69;88;29.38;12pt 7rb 2as 2st 3to 5-11fg 2-2ft
20161114;3882;PG;Barea, Jose;1;24.2;$5,800;dal;A;nyk;77;93;33.02;17pt 1rb 4as 1trey 8-16fg
20161114;3313;PG;Parker, Tony;1;23.6;$4,300;sas;H;mia;94;90;25.75;11pt 3rb 6as 1st 2to 4-10fg 3-4ft
20161114;4717;PG;Frazier, Tim;1;21.6;$5,500;nor;H;bos;106;105;29.85;10pt 3rb 6as 1st 3to 2-5fg 6-8ft
20161114;4564;SG;Curry, Seth;;20.5;$4,200;dal;A;nyk;77;93;30.32;9pt 5rb 3as 1st 1to 1trey 4-12fg
20161114;4468;SG;Fournier, Evan;1;20.4;$5,700;orl;A;ind;69;88;32.62;14pt 2rb 2as 1st 1to 1trey 4-15fg 5-5ft
20161114;3678;PG;Udrih, Beno;;19.8;$3,500;det;H;okc;104;88;17.90;10pt 4rb 4as 1to 5-7fg
20161114;4970;PG;Ferrell, Yogi;;18.7;$3,500;bkn;A;lac;95;127;25.63;13pt 1rb 5as 3to 2trey 5-11fg 1-4ft
20161114;4770;SG;Kilpatrick, Sean;1;18.5;$5,500;bkn;A;lac;95;127;18.22;14pt 5rb 1as 1st 5to 2trey 5-17fg 2-2ft
20161114;4164;SG;Matthews, Wes;1;18.5;$4,700;dal;A;nyk;77;93;34.03;8pt 5rb 1as 2st 1to 2trey 3-9fg
20161114;3745;SG;Ellis, Monta;1;18.4;$5,600;ind;H;orl;88;69;36.37;13pt 2rb 2as 1bl 2to 6-11fg 1-1ft
20161114;4077;SG;Gordon, Eric;1;17.7;$5,300;hou;H;phi;115;88;26.85;16pt 1rb 1as 1to 4trey 6-12fg
20161114;4703;SG;Stauskas, Nik;;16.9;$3,600;phi;A;hou;88;115;29.15;12pt 2rb 1as 1st 1to 1trey 4-9fg 3-4ft
20161114;3929;PG;Rodriguez, Sergio;1;16.4;$5,100;phi;A;hou;88;115;27.10;2pt 2rb 6as 1st 1bl 1to 1-8fg
20161114;4733;SG;Harris, Joe;;16.4;$3,600;bkn;A;lac;95;127;25.17;8pt 2rb 2as 2st 1to 1trey 3-6fg 1-2ft
20161114;4245;PG;Mills, Patty;;16.1;$4,200;sas;H;mia;94;90;24.33;10pt 3rb 3as 2to 2trey 2-3fg 4-4ft
20161114;3858;SG;Foye, Randy;;15.8;$4,000;bkn;A;lac;95;127;28.88;7pt 4rb 4as 2to 1trey 1-4fg 4-5ft
20161114;4831;PG;McConnell, T.J.;;15.7;$3,700;phi;A;hou;88;115;20.90;4pt 1rb 3as 4st 2to 2-4fg
20161114;4483;PG;Rivers, Austin;;15.6;$3,600;lac;H;bkn;127;95;25.02;3pt 3rb 6as 1st 2to 1-6fg 1-2ft
20161114;3747;PG;Felton, Raymond;;15.5;$3,500;lac;H;bkn;127;95;21.62;11pt 1as 2st 1to 3trey 4-6fg
20161114;3976;PG;Brooks, Aaron;;15;$3,500;ind;H;orl;88;69;17.15;7pt 4as 1st 1trey 2-9fg 2-2ft
20161114;4627;SG;Oladipo, Victor;1;14.9;$5,400;okc;A;det;88;104;22.75;9pt 2rb 1as 1bl 1trey 4-17fg 0-1ft
20161114;4707;PG;Exum, Dante;1;14.6;$3,500;uta;H;mem;96;102;30.47;9pt 3rb 2as 1to 4-9fg 1-2ft
20161114;4788;SG;Richardson, Josh;1;14.2;$3,800;mia;A;sas;90;94;28.27;8pt 1rb 4as 1st 3to 4-9fg
20161114;4110;SG;Lee, Courtney;1;13.4;$3,700;nyk;H;dal;93;77;32.08;7pt 2rb 2as 1st 1to 1trey 3-7fg
20161114;4961;SG;Hield, Buddy;1;11.9;$4,000;nor;H;bos;106;105;21.38;5pt 2rb 3as 1trey 2-7fg
20161114;4115;SG;Morrow, Anthony;;11.9;$3,500;okc;A;det;88;104; 8.57;6pt 2rb 1as 1bl 3-5fg
20161114;3021;SG;Ginobili, Manu;;11.8;$3,500;sas;H;mia;94;90;16.98;6pt 4rb 2as 2to 2trey 2-5fg
20161114;4182;PG;Jennings, Brandon;;11.1;$4,100;nyk;H;dal;93;77;23.23;5pt 3rb 1as 1st 1to 1trey 2-4fg
20161114;4650;SG;McGruder, Rodney;;10.4;$3,600;mia;A;sas;90;94;18.20;2pt 2rb 2st 1bl 1-2fg
20161114;4073;PG;Rose, Derrick;1;10.3;$6,000;nyk;H;dal;93;77;27.53;3pt 4rb 5as 5to 1-6fg 1-2ft
20161114;4964;SG;Brussino, Nicolas;;9.9;$3,500;dal;A;nyk;77;93; 8.10;5pt 2rb 1as 1bl 1to 1trey 2-3fg
20161114;4593;PG;Goodwin, Archie;;9.5;$3,700;nor;H;bos;106;105;15.12;8pt 1as 1-4fg 6-6ft
20161114;4729;PG;Ennis, Tyler;;9.5;$3,500;hou;H;phi;115;88;14.98;8pt 1as 1st 2to 2trey 3-6fg
20161114;4948;PG;Harrison, Andrew;;9.4;$3,600;mem;A;uta;102;96;26.05;5pt 2rb 2as 1to 1trey 1-4fg 2-2ft
20161114;4823;PG;Rozier, Terry;;9.4;$3,700;bos;A;nor;105;106;12.65;7pt 2rb 1trey 3-7fg
20161114;4534;SG;Thompson, Hollis;;8.4;$3,700;phi;A;hou;88;115;13.70;3pt 2rb 1st 1bl 1to 1-4fg 1-2ft
20161114;3681;SG;Vujacic, Sasha;;6.9;$3,500;nyk;H;dal;93;77;11.58;4pt 2rb 1as 1to 1-2fg 2-2ft
20161114;4056;PG;Watson, C.J.;;6.9;$3,500;orl;A;ind;69;88;17.18;3pt 2rb 1as 1trey 1-5fg
20161114;4994;PG;Christon, Semaj;;6.9;$3,500;okc;A;det;88;104;15.45;0pt 2rb 3as 0-4fg
20161114;4943;SG;Abrines, Alex;;6.7;$3,500;okc;A;det;88;104;17.40;5pt 1rb 1as 1to 1trey 1-7fg 2-2ft
20161114;4078;PG;Augustin, D.J.;;6.5;$3,600;orl;A;ind;69;88;16.27;6pt 1as 1to 1trey 2-5fg 1-2ft
20161114;4193;SG;Green, Danny;1;5.2;$4,300;sas;H;mia;94;90;14.93;3pt 1rb 1bl 1to 1trey 1-2fg
20161114;4675;SG;McDaniels, K.J.;;4.4;$3,500;hou;H;phi;115;88; 6.25;3pt 2rb 1to 1trey 1-2fg
20161114;4918;SG;Luwawu, Timothe;;4.2;$3,500;phi;A;hou;88;115; 8.75;4pt 1rb 1to 2-3fg
20161114;4776;SG;Hezonja, Mario;;2.7;$3,500;orl;A;ind;69;88; 5.25;0pt 1rb 1as 0-5fg
20161114;4839;SG;Hilliard, Darrun;;2;$3,500;det;H;okc;104;88; 1.28;2pt 1-1fg
20161114;5006;PG;Baker, Ron;;2;$3,500;nyk;H;dal;93;77; 3.13;0pt 1st 0-2fg
20161114;4087;PG;Brown, Bobby;;1.2;$3,500;hou;H;phi;115;88; 4.82;0pt 1rb 0-2fg
20161114;4807;PG;Neto, Raul;;1.2;$3,500;uta;H;mem;96;102; 2.10;0pt 1rb 0-1fg
20161114;4963;SG;Murray, Dejounte;;0;$3,500;sas;H;mia;94;90; 0.43;0pt
20161114;4685;SG;Wilcox, C.J.;;0;$3,500;orl;A;ind;69;88; 3.68;0pt
20161114;4782;SG;Young, Joseph;;0;$3,500;ind;H;orl;88;69; 2.25;0pt 0-2fg
20161114;3814;PG;Williams, Deron;;0;$6,300;dal;A;nyk;77;93;DNP;
20161114;4364;SG;Moore, E'Twaun;;0;$4,500;nor;H;bos;106;105;DNP;
20161114;4212;PG;Holiday, Jrue;;0;$7,900;nor;H;bos;106;105;DNP;
20161114;4909;PG;Baldwin, Wade;;0;$3,500;mem;A;uta;102;96;DNP;
20161114;4654;SG;Bullock, Reggie;;0;$3,500;det;H;okc;104;88;DNP;
20161114;4092;PG;Dragic, Goran;;0;$6,500;mia;A;sas;90;94;DNP;
20161114;3760;SG;Green, Gerald;;0;$3,500;bos;A;nor;105;106;DNP;
20161114;4102;PG;Hill, George;;0;$6,300;uta;H;mem;96;102;DNP;
20161114;4658;SG;Daniels, Troy;;0;$3,500;mem;A;uta;102;96;DNP;
20161114;3853;SG;Anderson, Alan;;0;$3,500;lac;H;bkn;127;95;DNP;
20161114;4906;PG;Whitehead, Isaiah;;0;$4,500;bkn;A;lac;95;127;DNP;
20161114;4441;SG;Burks, Alec;;0;$4,500;uta;H;mem;96;102;NA;
