Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161222;4221;PG;Teague, Jeff;1;47;$7,700;ind;H;bos;102;109;35.35;31pt 5rb 8as 1bl 4to 2trey 9-15fg 11-11ft
20161222;4420;PG;Thomas, Isaiah;1;42.7;$8,400;bos;A;ind;109;102;32.32;28pt 1rb 9as 2trey 9-21fg 8-9ft
20161222;4297;PG;Lin, Jeremy;1;39.1;$6,400;bkn;H;gsw;101;117;31.80;10pt 8rb 11as 2st 2bl 5to 2trey 4-12fg
20161222;3786;PG;Paul, Chris;1;38.4;$9,200;lac;H;sas;106;101;23.38;19pt 7rb 6as 2st 2to 2trey 6-11fg 5-6ft
20161222;4367;SG;Thompson, Klay;1;38;$6,300;gsw;A;bkn;117;101;35.17;23pt 5rb 2as 4st 2to 5trey 9-24fg
20161222;4173;PG;Curry, Stephen;1;35.9;$8,700;gsw;A;bkn;117;101;32.97;15pt 2rb 7as 5st 2to 3trey 6-19fg
20161222;4468;SG;Fournier, Evan;1;33;$6,000;orl;A;nyk;95;106;35.60;21pt 5rb 4as 1bl 2to 1trey 9-17fg 2-2ft
20161222;4092;PG;Dragic, Goran;1;30.9;$7,400;mia;H;lal;115;107;35.90;21pt 2rb 7as 3to 3trey 6-15fg 6-7ft
20161222;3816;SG;Williams, Louis;;29.9;$5,800;lal;A;mia;107;115;28.15;27pt 2rb 1as 1to 3trey 8-17fg 8-8ft
20161222;4073;PG;Rose, Derrick;1;29.5;$6,400;nyk;H;orl;106;95;26.03;19pt 5rb 3as 1trey 7-16fg 4-4ft
20161222;4799;PG;Russell, D'Angelo;1;28.3;$5,900;lal;A;mia;107;115;31.82;17pt 4rb 7as 1st 6to 3trey 7-16fg
20161222;4756;PG;Johnson, Tyler;;28.2;$5,700;mia;H;lal;115;107;33.90;14pt 1rb 6as 1st 1bl 4trey 5-14fg
20161222;4677;PG;Smart, Marcus;;27.3;$4,700;bos;A;ind;109;102;25.35;12pt 4rb 3as 2st 1bl 1trey 2-8fg 7-8ft
20161222;4269;SG;Bradley, Avery;1;26.2;$6,800;bos;A;ind;109;102;30.50;15pt 6rb 3st 2to 6-13fg 3-3ft
20161222;4036;SG;Young, Nick;1;25.5;$4,600;lal;A;mia;107;115;35.80;20pt 1as 2st 5trey 7-14fg 1-1ft
20161222;4699;PG;Payton, Elfrid;;23.6;$5,800;orl;A;nyk;95;106;31.10;10pt 8rb 4as 2st 6to 1trey 4-11fg 1-2ft
20161222;4182;PG;Jennings, Brandon;;22.2;$5,000;nyk;H;orl;106;95;22.13;4pt 1rb 12as 1st 3to 1trey 1-5fg 1-2ft
20161222;4110;SG;Lee, Courtney;1;22.1;$3,900;nyk;H;orl;106;95;28.67;10pt 3rb 3as 2st 1bl 2to 2trey 4-7fg
20161222;3747;PG;Felton, Raymond;;21.3;$3,500;lac;H;sas;106;101;23.02;13pt 4rb 3as 1to 6-9fg 1-2ft
20161222;4788;SG;Richardson, Josh;1;19.5;$4,200;mia;H;lal;115;107;36.50;9pt 5rb 3as 1bl 2to 1trey 4-11fg
20161222;4193;SG;Green, Danny;1;18.5;$3,700;sas;A;lac;101;106;30.20;10pt 5rb 1as 1st 1to 2trey 4-8fg
20161222;4770;SG;Kilpatrick, Sean;1;17.8;$5,000;bkn;H;gsw;101;117;32.20;14pt 4rb 2as 4to 1trey 4-11fg 5-7ft
20161222;3861;SG;Redick, J.J.;1;15;$4,400;lac;H;sas;106;101;20.82;11pt 2st 3trey 3-7fg 2-2ft
20161222;3116;SG;Crawford, Jamal;;14.2;$3,500;lac;H;sas;106;101;27.58;11pt 1rb 2st 1bl 4to 1trey 5-9fg
20161222;4668;PG;Clarkson, Jordan;;13.9;$5,100;lal;A;mia;107;115;25.12;4pt 2rb 3as 2st 1to 2-10fg
20161222;4733;SG;Harris, Joe;;12.1;$3,900;bkn;H;gsw;101;117;19.30;9pt 3rb 1as 2to 3trey 3-4fg
20161222;4611;SG;Clark, Ian;;11.5;$3,600;gsw;A;bkn;117;101;15.03;8pt 1as 1st 4-6fg
20161222;4483;PG;Rivers, Austin;;10;$4,000;lac;H;sas;106;101;25.18;8pt 1st 1trey 2-9fg 3-4ft
20161222;4078;PG;Augustin, D.J.;1;9.1;$3,700;orl;A;nyk;95;106;19.95;2pt 3rb 3as 1to 1-4fg
20161222;3313;PG;Parker, Tony;1;8.9;$4,200;sas;A;lac;101;106;27.83;2pt 2rb 3as 1-8fg
20161222;4963;SG;Murray, Dejounte;;8.4;$3,500;sas;A;lac;101;106; 8.02;4pt 2rb 1st 2-5fg 0-2ft
20161222;4056;PG;Watson, C.J.;;8.2;$3,500;orl;A;nyk;95;106;16.67;4pt 1rb 2as 2-5fg
20161222;3976;PG;Brooks, Aaron;;7.4;$3,500;ind;H;bos;102;109;12.72;2pt 2rb 2as 1st 2to 0-3fg 2-2ft
20161222;4558;SG;Holiday, Justin;;7;$3,800;nyk;H;orl;106;95;19.60;5pt 1st 1trey 2-8fg
20161222;4245;PG;Mills, Patty;;6.9;$4,200;sas;A;lac;101;106;17.45;3pt 2rb 1as 1trey 1-5fg
20161222;3651;PG;Livingston, Shaun;;6.4;$3,500;gsw;A;bkn;117;101;17.78;4pt 2rb 1st 2to 2-4fg
20161222;4902;SG;McCaw, Patrick;;2;$3,500;gsw;A;bkn;117;101; 7.80;3pt 1to 1trey 1-2fg
20161222;4760;PG;Dinwiddie, Spencer;;2;$3,600;bkn;H;gsw;101;117;11.33;2pt 1-3fg
20161222;4823;PG;Rozier, Terry;;1;$3,600;bos;A;ind;109;102; 6.60;0pt 1st 1to 0-3fg
20161222;5006;PG;Baker, Ron;;0.2;$3,500;nyk;H;orl;106;95; 1.15;0pt 1rb 1to 0-1fg
20161222;3858;SG;Foye, Randy;;0.2;$3,500;bkn;H;gsw;101;117; 3.17;0pt 1rb 1to
20161222;4995;SG;Forbes, Bryn;;0;$3,500;sas;A;lac;101;106; 1.48;0pt 0-1fg
20161222;3681;SG;Vujacic, Sasha;;0;$3,500;nyk;H;orl;106;95; 1.15;0pt
20161222;4776;SG;Hezonja, Mario;;0;$3,500;orl;A;nyk;95;106; 1.15;0pt 0-1fg
20161222;4026;SG;Stuckey, Rodney;;0;$3,900;ind;H;bos;102;109;DNP;
20161222;3760;SG;Green, Gerald;;0;$3,500;bos;A;ind;109;102;DNP;
20161222;4183;SG;Meeks, Jodie;;0;$3,500;orl;A;nyk;95;106;DNP;
20161222;4970;PG;Ferrell, Yogi;;0;$3,500;bkn;H;gsw;101;117;DNP;
20161222;4650;SG;McGruder, Rodney;;0;$3,600;mia;H;lal;115;107;DNP;
20161222;4803;PG;Huertas, Marcelo;;0;$3,700;lal;A;mia;107;115;DNP;
20161222;3853;SG;Anderson, Alan;;0;$3,500;lac;H;sas;106;101;DNP;
20161222;4185;SG;Ellington, Wayne;;0;$4,400;mia;H;lal;115;107;DNP;
20161222;4782;SG;Young, Joseph;;0;$3,700;ind;H;bos;102;109;DNP;
20161222;4515;SG;Waiters, Dion;;0;$5,500;mia;H;lal;115;107;NA;
20161222;3021;SG;Ginobili, Manu;;0;$3,800;sas;A;lac;101;106;NA;
20161222;4685;SG;Wilcox, C.J.;;0;$3,500;orl;A;nyk;95;106;NA;
20161222;4946;PG;Laprovittola, Nicolas;;0;$3,500;sas;A;lac;101;106;NA;
