Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20151027;4173;PG;Curry, Stephen;1;63.5;$9,500;gsw;H;nor;111;95;35.62;40pt 6rb 7as 2st 2to 5trey 14-26fg 7-7ft
20151027;3574;PG;Williams, Maurice;1;39.5;$4,900;cle;A;chi;95;97;37.15;19pt 4rb 7as 1st 1bl 1to 3trey 7-15fg 2-3ft
20151027;4315;PG;Smith, Ishmael;;38.5;$3,000;nor;A;gsw;95;111;38.02;17pt 2rb 9as 3st 2to 1trey 7-13fg 2-4ft
20151027;4369;PG;Jackson, Reggie;1;36.5;$7,800;det;A;atl;106;94;32.12;15pt 8rb 5as 2st 2to 2trey 4-10fg 5-5ft
20151027;4595;PG;Schroder, Dennis;;34.25;$4,400;atl;H;det;94;106;25.37;20pt 3rb 4as 2st 1to 2trey 8-14fg 2-2ft
20151027;4363;SG;Butler, Jimmy;1;32.25;$7,600;chi;H;cle;97;95;36.63;17pt 5rb 2as 2st 1bl 6-14fg 5-5ft
20151027;4616;SG;Caldwell-Pope, Kentavious;1;30.5;$4,700;det;A;atl;106;94;37.05;21pt 4rb 1as 1st 2to 4trey 7-14fg 3-3ft
20151027;4073;PG;Rose, Derrick;1;27.75;$6,500;chi;H;cle;97;95;32.47;18pt 1rb 5as 1st 2to 8-22fg 2-4ft
20151027;4077;SG;Gordon, Eric;1;26;$5,200;nor;A;gsw;95;111;33.48;14pt 4rb 4as 1st 4to 2trey 5-17fg 2-2ft
20151027;4221;PG;Teague, Jeff;1;24.5;$7,000;atl;H;det;94;106;31.87;18pt 2rb 4as 5to 1trey 7-16fg 3-4ft
20151027;3669;SG;Smith, J.R.;1;20.75;$4,800;cle;A;chi;95;97;30.45;8pt 5rb 3as 1st 3-10fg 2-4ft
20151027;4367;SG;Thompson, Klay;1;19;$7,200;gsw;H;nor;111;95;26.43;9pt 4rb 3as 1st 1bl 7to 3-8fg 3-3ft
20151027;4364;SG;Moore, E'Twaun;;16.75;$3,000;chi;H;cle;97;95;14.37;11pt 3rb 1as 1trey 5-8fg
