Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20141028;4224;SG;Harden, James;1;44.2;$9,900;hou;A;lal;108;90;31;32pt 1rb 6as 1st 3trey 7-17fg 15-16ft
20141028;3745;SG;Ellis, Monta;1;38.8;$8,100;dal;A;sas;100;101;37;26pt 4rb 6as 1st 3to 1trey 11-21fg 3-4ft
20141028;3021;SG;Ginobili, Manu;;32.4;$5,400;sas;H;dal;101;100;28;20pt 2rb 6as 2st 3to 2trey 6-13fg 6-7ft
20141028;4207;SG;Evans, Tyreke;1;31.8;$7,400;nor;H;orl;101;84;35;12pt 9rb 6as 5-15fg 2-5ft
20141028;3313;PG;Parker, Tony;1;30.1;$7,300;sas;H;dal;101;100;35;23pt 3rb 3as 1to 4trey 9-15fg 1-2ft
20141028;3637;PG;Harris, Devin;;27.5;$4,300;dal;A;sas;100;101;29;17pt 5as 2st 1to 2trey 6-12fg 3-4ft
20141028;1881;SG;Bryant, Kobe;1;26.6;$9,000;lal;H;hou;90;108;29;19pt 3rb 2as 1st 1to 6-17fg 7-8ft
20141028;4212;PG;Holiday, Jrue;1;22.4;$7,400;nor;H;orl;101;84;27;8pt 2rb 4as 3st 1bl 2to 4-11fg 0-0ft
20141028;3974;SG;Belinelli, Marco;1;21.9;$4,200;sas;H;dal;101;100;31;15pt 2rb 3as 1st 2to 3trey 5-8fg 2-2ft
20141028;4699;PG;Payton, Elfrid;1;20.5;$5,600;orl;A;nor;84;101;31;4pt 5rb 7as 1st 2to 2-8fg 0-0ft
20141028;4234;PG;Beverley, Patrick;1;20.5;$4,900;hou;A;lal;108;90;31;9pt 5rb 5as 2to 2trey 2-6fg 3-6ft
20141028;4193;SG;Green, Danny;1;18.3;$4,400;sas;H;dal;101;100;34;13pt 4rb 1as 1st 3to 3trey 5-9fg 0-0ft
20141028;4077;SG;Gordon, Eric;1;17.8;$5,900;nor;H;orl;101;84;32;8pt 4rb 2st 2bl 3to 1trey 3-8fg 1-3ft
20141028;3656;PG;Nelson, Jameer;1;17.5;$6,000;dal;A;sas;100;101;30;9pt 3as 1st 1bl 3trey 3-7fg 0-0ft
